name,seq
ConceptToCriteriaTypeMapper,258
viv_calculator_Units,262
viv_calculator_SpecialNumber,22
viv_calculator_Operand,188
viv_calculator_ScientificOperator,146
viv_calculator_FollowUpOperator,69
viv_calculator_Operator,69
viv_contact_Ordinal,46
viv_contact_SaveConfirmationType,53
viv_contact_AddressType,11
viv_contact_ContactType,30
viv_contact_PhoneType,31
viv_voiceRecorderApp_RecordingMode,5
bixby_launcher_SelectedAll,10
bixby_launcher_MultiOption,23
bixby_launcher_ApplicationName,1826
viv_phoneApp_DeleteConfirmationType,58
viv_phoneApp_Speaker,7
viv_phoneApp_LatestCall,41
viv_phoneApp_SelectAll,8
viv_message_SimCard,25
viv_message_SendConfirmationType,135
viv_bixbyVoiceApp_TutorialsName,25
viv_bixbyVoiceApp_FeatureName,105
viv_bixbyVoiceApp_ConfirmationType,14
viv_bixbyVoiceApp_TurnOnOffFeatureName,9
viv_bixbyVoiceApp_VoiceGender,4
viv_bixbyVoiceApp_NameType,8
viv_bixbyVoiceApp_Language,553
viv_bixbyVoiceApp_GoToFeature2FeatureName,33
viv_money_CurrencyValue,23
viv_money_ConvertCurrency,3
viv_money_CurrencyCode,552
viv_money_PrefixSymbol,8
viv_money_Currency,6
viv_money_CurrencyType,1
viv_money_Price,83
viv_smartViewApp_DeviceType,38
viv_smartViewApp_Phone,7
viv_smartViewApp_FunctionName,18
bixby_settingsApp_IntValue,143
bixby_settingsApp_MuteDurationHourUnit,2
bixby_settingsApp_SettingName,10
bixby_settingsApp_ScreenResolutionName,21
bixby_settingsApp_ScreenTimeoutUnit,2
bixby_settingsApp_SettingsName,142
bixby_settingsApp_ScreenTimeoutMinMax,15
bixby_settingsApp_ScreenZoomType,72
bixby_settingsApp_MuteDurationMinuteUnit,1
bixby_settingsApp_FontType,72
bixby_settingsApp_WhiteBalanceType,72
bixby_settingsApp_JumpSettingAppName,247
bixby_settingsApp_RingerModeName,51
viv_deviceMaintenanceApp_Item,45
viv_deviceMaintenanceApp_PerformanceMode,17
viv_deviceMaintenanceApp_PSMType,7
viv_systemApp_ScrollLevel,24
viv_systemApp_VolumeLevelType,67
viv_systemApp_PowerOffDevice,14
viv_systemApp_VolumeLevelUnit,4
viv_systemApp_PowerOffConfirmation,128
viv_systemApp_BrightnessPercentage,37
viv_systemApp_FlashlightName,18
viv_systemApp_VolumeType,33
viv_systemApp_VolumeLevel,48
viv_systemApp_ApplicationName,1557
viv_systemApp_BrightnessLevel,21
viv_systemApp_RebootConfirmation,118
viv_call_CallMode,21
viv_call_SimCard,20
viv_call_CallRecentOrder,16
viv_call_Duo,7
viv_call_CallRecentType,70
viv_time_RelativeNamedTimeInterval,21
viv_time_PeriodNights,77
viv_time_ExplicitComputationFromContext,7
viv_time_PeriodDays,298
viv_time_Year,300
viv_time_DateTimeInterval,1
viv_time_Hour,88
viv_time_Nth,264
viv_time_KoreanMinute,61
viv_time_PeriodYears,437
viv_time_DateIntervalPeriodType,5
viv_time_MonthName,156
viv_time_AmPm,10
viv_time_KRHoliday,423
viv_time_DateTimeZone,278
viv_time_ExplicitDirectionFromNow,16
viv_time_DateTimeIntervalPeriodType,5
viv_time_PeriodSeconds,280
viv_time_PeriodMonths,692
viv_time_AbsoluteNamedTimeInterval,60
viv_time_ExplicitOffsetFromNow,34
viv_time_CalculatedDatePeriodType,8
viv_time_DayOfWeek,43
viv_time_ExplicitOffsetFromContext,6
viv_time_Day,489
viv_time_DateTimePrecision,16
viv_time_Minute,121
viv_time_DatePeriodType,9
viv_time_Season,4
viv_time_Millisecond,1000
viv_time_DateTimeIntervalRangeMod,1
viv_time_DateTimePeriodType,4
viv_time_PeriodMinutes,280
viv_time_PeriodWeeks,273
viv_time_RelativeNamedDateInterval,13
viv_time_AmbiguousNamedDateInterval,112
viv_time_PeriodHours,515
viv_time_DateTime,2
viv_time_HolidayInterval,2
viv_time_NamedDate,38
viv_time_NamedTime,42
viv_email_OrdinalNumber,466
viv_email_SendConfirmationType,77
viv_common_Ordinal,781
ConceptInfo,773
regex_patterns,10
