_id,time,tag,msg
1860,1623993401239,SET_PKG,  [com.samsung.android.game.gamehome] 
1861,1623993401241,SET_PKG,  [com.sec.android.app.samsungapps] 
1862,1623993401242,SET_PKG,  [com.sec.android.app.popupcalculator] 
1863,1624180194806,INI_GMS,  com.sec.android.app.myfiles=10
1864,1624180194811,INI_GMS,  com.ea.game.nfs14_row=1
1865,1624180194812,INI_GMS,  com.sec.android.app.clockpackage=10
1866,1624180194813,INI_GMS,  com.android.vending=10
1867,1624180194815,INI_GMS,  com.samsung.android.game.gametools=3
1868,1624180194816,INI_GMS,  com.samsung.android.game.gamehome=3
1869,1624180194818,INI_GMS,  com.sec.android.app.samsungapps=3
1870,1624180194819,INI_GMS,  com.sec.android.app.popupcalculator=10
1871,1624180194824,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1872,1624180194827,SET_PKG,setPackageConfigurations()
1873,1624180194829,SET_PKG,  [com.sec.android.app.myfiles] 
1874,1624180194831,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1875,1624180194834,SET_PKG,  [com.sec.android.app.clockpackage] 
1876,1624180194836,SET_PKG,  [com.android.vending] 
1877,1624180194838,SET_PKG,  [com.samsung.android.game.gametools] 
1878,1624180194843,SET_PKG,  [com.samsung.android.game.gamehome] 
1879,1624180194844,SET_PKG,  [com.sec.android.app.samsungapps] 
1880,1624180194846,SET_PKG,  [com.sec.android.app.popupcalculator] 
1881,1624340111291,SET_DFS,"FPS: 60, successful: true"
1882,1624340140210,INI_GMS,  com.sec.android.app.myfiles=10
1883,1624340140215,INI_GMS,  com.ea.game.nfs14_row=1
1884,1624340140216,INI_GMS,  com.sec.android.app.clockpackage=10
1885,1624340140217,INI_GMS,  com.android.vending=10
1886,1624340140220,INI_GMS,  com.samsung.android.game.gametools=3
1887,1624340140221,INI_GMS,  com.samsung.android.game.gamehome=3
1888,1624340140222,INI_GMS,  com.sec.android.app.samsungapps=3
1889,1624340140224,INI_GMS,  com.sec.android.app.popupcalculator=10
1890,1624340140226,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1891,1624340140229,SET_PKG,setPackageConfigurations()
1892,1624340140231,SET_PKG,  [com.sec.android.app.myfiles] 
1893,1624340140234,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1894,1624340140236,SET_PKG,  [com.sec.android.app.clockpackage] 
1895,1624340140237,SET_PKG,  [com.android.vending] 
1896,1624340140239,SET_PKG,  [com.samsung.android.game.gametools] 
1897,1624340140240,SET_PKG,  [com.samsung.android.game.gamehome] 
1898,1624340140242,SET_PKG,  [com.sec.android.app.samsungapps] 
1899,1624340140244,SET_PKG,  [com.sec.android.app.popupcalculator] 
1900,1624340142412,INI_GMS,  com.sec.android.app.myfiles=10
1901,1624340142414,INI_GMS,  com.ea.game.nfs14_row=1
1902,1624340142416,INI_GMS,  com.sec.android.app.clockpackage=10
1903,1624340142417,INI_GMS,  com.android.vending=10
1904,1624340142418,INI_GMS,  com.samsung.android.game.gametools=3
1905,1624340142420,INI_GMS,  com.samsung.android.game.gamehome=3
1906,1624340142424,INI_GMS,  com.sec.android.app.samsungapps=3
1907,1624340142431,INI_GMS,  com.sec.android.app.popupcalculator=10
1908,1624340142434,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1909,1624340142443,SET_PKG,setPackageConfigurations()
1910,1624340142452,SET_PKG,  [com.sec.android.app.myfiles] 
1911,1624340142455,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1912,1624340142457,SET_PKG,  [com.sec.android.app.clockpackage] 
1913,1624340142459,SET_PKG,  [com.android.vending] 
1914,1624340142461,SET_PKG,  [com.samsung.android.game.gametools] 
1915,1624340142462,SET_PKG,  [com.samsung.android.game.gamehome] 
1916,1624340142463,SET_PKG,  [com.sec.android.app.samsungapps] 
1917,1624340142464,SET_PKG,  [com.sec.android.app.popupcalculator] 
1918,1624345586502,INI_GMS,  com.sec.android.app.myfiles=10
1919,1624345586508,INI_GMS,  com.ea.game.nfs14_row=1
1920,1624345586512,INI_GMS,  com.sec.android.app.clockpackage=10
1921,1624345586515,INI_GMS,  com.android.vending=10
1922,1624345586518,INI_GMS,  com.samsung.android.game.gametools=3
1923,1624345586520,INI_GMS,  com.samsung.android.game.gamehome=3
1924,1624345586523,INI_GMS,  com.sec.android.app.samsungapps=3
1925,1624345586525,INI_GMS,  com.sec.android.app.popupcalculator=10
1926,1624345586528,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1927,1624345586532,SET_PKG,setPackageConfigurations()
1928,1624345586535,SET_PKG,  [com.sec.android.app.myfiles] 
1929,1624345586539,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1930,1624345586542,SET_PKG,  [com.sec.android.app.clockpackage] 
1931,1624345586552,SET_PKG,  [com.android.vending] 
1932,1624345586555,SET_PKG,  [com.samsung.android.game.gametools] 
1933,1624345586558,SET_PKG,  [com.samsung.android.game.gamehome] 
1934,1624345586562,SET_PKG,  [com.sec.android.app.samsungapps] 
1935,1624345586563,SET_PKG,  [com.sec.android.app.popupcalculator] 
1936,1624345587714,INI_GMS,  com.sec.android.app.myfiles=10
1937,1624345587717,INI_GMS,  com.ea.game.nfs14_row=1
1938,1624345587722,INI_GMS,  com.sec.android.app.clockpackage=10
1939,1624345587725,INI_GMS,  com.android.vending=10
1940,1624345587727,INI_GMS,  com.samsung.android.game.gametools=3
1941,1624345587729,INI_GMS,  com.samsung.android.game.gamehome=3
1942,1624345587730,INI_GMS,  com.sec.android.app.samsungapps=3
1943,1624345587732,INI_GMS,  com.sec.android.app.popupcalculator=10
1944,1624345587736,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1945,1624345587739,SET_PKG,setPackageConfigurations()
1946,1624345587742,SET_PKG,  [com.sec.android.app.myfiles] 
1947,1624345587753,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1948,1624345587754,SET_PKG,  [com.sec.android.app.clockpackage] 
1949,1624345587756,SET_PKG,  [com.android.vending] 
1950,1624345587757,SET_PKG,  [com.samsung.android.game.gametools] 
1951,1624345587759,SET_PKG,  [com.samsung.android.game.gamehome] 
1952,1624345587760,SET_PKG,  [com.sec.android.app.samsungapps] 
1953,1624345587762,SET_PKG,  [com.sec.android.app.popupcalculator] 
1954,1624345588684,INI_GMS,  com.sec.android.app.myfiles=10
1955,1624345588689,INI_GMS,  com.ea.game.nfs14_row=1
1956,1624345588693,INI_GMS,  com.sec.android.app.clockpackage=10
1957,1624345588697,INI_GMS,  com.android.vending=10
1958,1624345588702,INI_GMS,  com.samsung.android.game.gametools=3
1959,1624345588704,INI_GMS,  com.samsung.android.game.gamehome=3
1960,1624345588706,INI_GMS,  com.sec.android.app.samsungapps=3
1961,1624345588709,INI_GMS,  com.sec.android.app.popupcalculator=10
1962,1624345588713,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1963,1624345588718,SET_PKG,setPackageConfigurations()
1964,1624345588719,SET_PKG,  [com.sec.android.app.myfiles] 
1965,1624345588733,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1966,1624345588736,SET_PKG,  [com.sec.android.app.clockpackage] 
1967,1624345588738,SET_PKG,  [com.android.vending] 
1968,1624345588742,SET_PKG,  [com.samsung.android.game.gametools] 
1969,1624345588744,SET_PKG,  [com.samsung.android.game.gamehome] 
1970,1624345588747,SET_PKG,  [com.sec.android.app.samsungapps] 
1971,1624345588751,SET_PKG,  [com.sec.android.app.popupcalculator] 
1972,1624345621752,INI_GMS,  com.sec.android.app.myfiles=10
1973,1624345621758,INI_GMS,  com.ea.game.nfs14_row=1
1974,1624345621760,INI_GMS,  com.sec.android.app.clockpackage=10
1975,1624345621762,INI_GMS,  com.android.vending=10
1976,1624345621764,INI_GMS,  com.samsung.android.game.gametools=3
1977,1624345621766,INI_GMS,  com.samsung.android.game.gamehome=3
1978,1624345621768,INI_GMS,  com.sec.android.app.samsungapps=3
1979,1624345621770,INI_GMS,  com.sec.android.app.popupcalculator=10
1980,1624345621774,SET_GLO,"setPerformanceMode(), SiopMode: 1"
1981,1624345621776,SET_PKG,setPackageConfigurations()
1982,1624345621779,SET_PKG,  [com.sec.android.app.myfiles] 
1983,1624345621782,SET_PKG,"  [com.ea.game.nfs14_row] , DSS: 0.7731481, GTC: -4/-2/0, GameSDK: -1/-1/true"
1984,1624345621784,SET_PKG,  [com.sec.android.app.clockpackage] 
