start_time,end_time,all_power,screen_power,battery_delta,screen_on_time,subscreen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge,screen_on_coulomb_counter,screen_off_coulomb_counter,uptime,screen_off_uptime,aod_time,psm_time,pwl_time,br0_time,br1_time,br2_time,br3_time,br4_time,br0_atuto_time,br1_atuto_time,br2_atuto_time,br3_atuto_time,br4_atuto_time,highbr_time,mobile_bytes,mobile_packets,mactive_time,mactive_time_5g,mactive_cnt,ss0_time,ss1_time,ss2_time,ss3_time,ss4_time,ss5_time,wifi_bytes,wifi_packets,wifi_on_time,wifi_run_time,wifi_scan_time,wifi_scan_cnt,gps_time,pwsh_time,pwsh_power,spk_call_power,spk_call_time,spk_call_level,spk_media_power,spk_media_time,spk_media_level,hrr_alyways_time,cp_sleep_time,cp_idle_time,nr_tx_time,nr_tx_level,nr_rx_time,nr_tx_byte,nr_rx_byte,lc_tx_time,lc_tx_level,lc_rx_time,lc_tx_byte,lc_rx_byte
1626408385336,1626494784528,527.0542718490155,0.0,13,5397,0,86393772,0,126,1000,401000,3389721,3384323,50324,0,3384324,48,0,5349,0,0,0,0,0,0,0,0,20313617,31253,3941441,0,318,0,0,14986186,0,71412983,0,0,0,86399169,0,135093000,106,325455,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626494784528,1626581184684,510.4522588890287,5.536,14,223408,0,86176745,6,133,21000,412000,2968996,2745587,45690,0,2745588,41,940,222427,0,0,0,0,0,0,0,0,10668719,22650,3844201,0,279,0,0,51416186,0,34983967,0,0,0,86400153,0,20570000,15,24324,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626581184684,1626667584882,469.1536964025388,0.0,13,5420,0,86394794,0,132,1000,428000,2240249,2234829,41983,0,2234829,34,0,5386,0,0,0,0,0,0,0,0,4945139,12178,3044929,0,243,0,0,0,0,86400214,0,0,0,86400214,0,6388000,5,22002,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626667584882,1626753601058,764.7142352296617,69.227,22,2917484,0,79344524,97,124,305000,388000,6231308,3313811,93851,0,3313824,659,202469,2714356,0,0,0,0,0,0,0,0,114238858,158438,6838658,0,335,0,2058,3981133,14739994,63538823,0,0,0,82262008,0,34590000,23,23256,0,0,0.0,0,0,0.0,215344,1467666,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626753601058,1626840385305,671.7880249125557,22.033999999999995,17,994123,0,85790078,37,135,113000,422000,5834091,4839962,137377,0,4839968,640,87135,906348,0,0,0,0,0,0,0,0,23920047,42158,5887733,0,429,0,186546,6858105,74925715,4813835,0,0,0,86784201,0,160461000,122,469232,0,0,0.0,0,0,0.0,727,10905,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626840385305,1626926400308,1417.8935511335947,185.9,41,10090767,0,55744401,294,105,950000,313000,13608405,3542284,316434,0,3520264,626,13700,10076441,0,0,0,0,0,0,0,0,314174319,353126,12633621,0,344,328152,148384,47913159,13373474,4846646,0,0,0,44343614,0,167552000,125,10386895,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
1626926400308,1626981968019,881.1911842154066,115.84700000000001,24,6010868,0,48516732,173,83,569000,273000,8743111,2732242,151167,0,2720226,118,10358,6000392,0,0,0,0,0,0,0,0,137081871,159993,7716452,0,302,421,57098,47678037,3765720,2906893,0,0,0,0,0,27492000,20,5149937,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
