_id,category_name
1,
2,seentweets_home_main
3,explore_dynamic_chrome_page_configuration
5,seentweets_conversation_main
6,seentweets_conversation_mru
7,explore_settings
9,notifications-histogram
11,visited_urls_category_name
12,seentweets_home_mru
