module_id,key,value
236,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/217584074_1712495292268902_976041804380390934_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=QPly65OEq-IAX-Ks_l4&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=e313c65c342207dc9b0d4908b154a3ce&oe=60F76C8B
236,release_file_hash,VYzovJlDmT1FgqyFX+JRSFGgiS0gfT23nAIgaxNQcDA=
236,release_full_apk_signature,AQDiMEUCIQCDZPHFIFviEkrZSZGZh11JRceyOdZs5LF9kcVido95BgIgKaCClCKPEjLxRA50njUsnhsKb9zVTObL6ZDGZSSW7sE=
237,multifile_download_id,365
237,download_api,1
237,download_allow_metered,false
237,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/217734402_1712493502269081_2943052832913748586_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=2Xy4g25Pot0AX_oH0H6&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=ab6b98bb1c737cb8f83797552ff1b9a0&oe=60F844F5
237,release_file_hash,ZlZfDojCyMCrQmFo6V3o5ASHyWkYAZhnENqnvuLXfSo=
237,release_full_apk_signature,AQDiMEYCIQDze1SmR0ncgYGF/FI9l8r8seZVvqCVZNkAd1O8FoQvqQIhAKp0/70dU9UiiCwgAFgXyFYFJ7zJWtRcIGzPybOLNOPz
238,multifile_download_id,365
238,download_api,1
238,download_allow_metered,false
238,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/217873117_1712492935602471_2151683082578820495_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=QWwIzJRa4B8AX_QjAyI&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=b62c5651b2de8e0e31fd74b480e33b67&oe=60F87C96
238,release_file_hash,tlyCOO4zmyE4K9bDAuQZTHHdb7/FlpH4IJj/gX52blQ=
238,release_full_apk_signature,AQDiMEQCIAjk/BQKxC+iQ09aKk0t3W82yBLZTBnU09v/WbFhFGg6AiB47oSSCpZ7Ju78Cj9624nRPeslBpgO+WVsvtna7GNTVw==
239,multifile_download_id,365
239,download_api,1
239,download_allow_metered,false
239,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/217535704_1712492825602482_302297979185207616_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=d7fWdCDU1i4AX8zlH9V&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=1f69341bbdd1c2eeac7b3b1779cd94e5&oe=60F6E186
239,release_file_hash,42z2IzOohY8EmNPwgG3yGaSlvzNAeWKrRTKpXNy036Y=
239,release_full_apk_signature,AQDiMEYCIQDxvcVnW65+p2iY5/utquhGKPaENBlmllVWiBR74x4uBAIhAOB2203dX5HM4THzVf1Hlokf5TPSj9/dwiztWe+4gjTh
240,multifile_download_id,365
240,download_api,1
240,download_allow_metered,false
240,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/218426809_1712492698935828_7223212968525729078_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=NVjHj18-bSkAX-PdKHJ&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=7212194929f069af4faa8b0c8f0962fb&oe=60F69C61
240,release_file_hash,VLZSP1RAlU2ZLWsuspi/p7jKdiEh/gxStuvPeMV1mic=
240,release_full_apk_signature,AQDiMEUCIHAUJBm16fDuBNrfrQCvCZnB/sSeNjqLfWTSxnVxBSNuAiEAlfOCpur6QJ8eEC09DSL2eLPtspzJmt6QgHMuek+NJVw=
241,multifile_download_id,365
241,download_api,1
241,download_allow_metered,false
241,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/216848692_1712492555602509_325341078156038594_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=c6PK_HxbvOgAX-VQLXP&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=078b2faa7e7219883986da9f48ee3558&oe=60F84CFF
241,release_file_hash,lBauzbsmUeqCJtQISWheXCf2aznMz2UaCTs+kxTWO8o=
241,release_full_apk_signature,AQDiMEUCIG92YO1zJ2X8W8iRggnDLa76SZd5E3PGrGrLTs68cGWIAiEAkpXAoaGigYnnaZsNjpFYu8/R04P+xD+P9dXoYbWxgIg=
242,multifile_download_id,365
242,download_api,1
242,download_allow_metered,false
242,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/218289523_1712492145602550_2878599264431622911_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=2QqYdt0CHikAX8md62g&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=f7ea11e8ec3c5f0d304626f826faa5fa&oe=60F82934
242,release_file_hash,96iEuwHNJ5mxfz3Mgg+5VxfMo4xQDAW7kojeu2DDc2w=
242,release_full_apk_signature,AQDiMEYCIQD/nDACHGdbzPJysSsdn0Zb0fjVbV2TttlAz+ijmNBaCAIhANqX+SM2X5arQWwta4EJwo5QUSXrRkuP89R+veY2dn8d
243,multifile_download_id,365
243,download_api,1
243,download_allow_metered,false
