_id,mnoname,ipflowtype,ipflowrule,routingrule,affectapn
52,VZW_US:FKR,apps,idle,LTE:IWLAN:CS,ims
53,VZW_US:FKR,apps,blockhandoff,UNKNOWN,ims
54,VZW_US:FKR,apps,e911call,UNKNOWN,emergency:ims
55,VZW_US:GoogleGC,apps,imsvideocall,IWLAN:LTE,ims
56,VZW_US:GoogleGC,apps,imsvoicecall,LTE:CS,ims
57,VZW_US:GoogleGC,apps,imsvideovoicecall,LTE:CS,ims
58,VZW_US:GoogleGC,apps,idle,LTE:IWLAN:CS,ims
59,VZW_US:GoogleGC,apps,blockhandoff,UNKNOWN,ims
60,VZW_US:GoogleGC,apps,e911call,UNKNOWN,emergency:ims
61,VZW_US:Bluegrass,apps,imsvideocall,IWLAN:LTE,ims
62,VZW_US:Bluegrass,apps,imsvoicecall,LTE:CS,ims
63,VZW_US:Bluegrass,apps,imsvideovoicecall,LTE:CS,ims
64,VZW_US:Bluegrass,apps,idle,LTE:IWLAN:CS,ims
65,VZW_US:Bluegrass,apps,blockhandoff,UNKNOWN,ims
66,VZW_US:Bluegrass,apps,e911call,UNKNOWN,emergency:ims
67,VZW_US:ChatMobility,apps,imsvideocall,IWLAN:LTE,ims
68,VZW_US:ChatMobility,apps,imsvoicecall,LTE:CS,ims
69,VZW_US:ChatMobility,apps,imsvideovoicecall,LTE:CS,ims
70,VZW_US:ChatMobility,apps,idle,LTE:IWLAN:CS,ims
71,VZW_US:ChatMobility,apps,blockhandoff,UNKNOWN,ims
72,VZW_US:ChatMobility,apps,e911call,UNKNOWN,emergency:ims
73,VZW_US:NorthWest,apps,imsvideocall,IWLAN:LTE,ims
74,VZW_US:NorthWest,apps,imsvoicecall,LTE:CS,ims
75,VZW_US:NorthWest,apps,imsvideovoicecall,LTE:CS,ims
76,VZW_US:NorthWest,apps,idle,LTE:IWLAN:CS,ims
77,VZW_US:NorthWest,apps,blockhandoff,UNKNOWN,ims
78,VZW_US:NorthWest,apps,e911call,UNKNOWN,emergency:ims
79,ATT_US,apps,imsvideocall,IWLAN:LTE,ims
80,ATT_US,apps,imsvoicecall,LTE:IWLAN,ims
81,ATT_US,apps,imsvideovoicecall,IWLAN:LTE,ims
82,ATT_US,apps,idle,LTE:CS:IWLAN,ims
83,ATT_US,apps,blockhandoff,UNKNOWN,ims
84,ATT_US,apps,e911call,UNKNOWN,emergency
85,ATT_US:FN,apps,imsvideocall,IWLAN:LTE,ims
86,ATT_US:FN,apps,imsvoicecall,LTE:IWLAN,ims
87,ATT_US:FN,apps,imsvideovoicecall,IWLAN:LTE,ims
88,ATT_US:FN,apps,idle,LTE:CS:IWLAN,ims
89,ATT_US:FN,apps,blockhandoff,UNKNOWN,ims
90,ATT_US:FN,apps,e911call,UNKNOWN,emergency
