RecordId,formal,alias
1,Sim1,first sim
2,Sim1,first sim card
3,Sim1,1st sim
4,Sim1,1st sim card
5,Sim1,sim 1
6,Sim1,sim card 1
7,Sim2,second sim
8,Sim2,second sim card
9,Sim2,2nd sim
10,Sim2,2nd sim card
11,Sim2,sim 2
12,Sim2,sim card 2
