stickerId,packId,cacheKey,capFriends,capGeo,targetPreview,targetChat,targetOdg,targetBitmojiQuickReply,animated,rank
10213475,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10213472,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10213473,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10213471,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10229804,bitmoji-search-chat,,0,0,0,1,0,0,0,0
20061508,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10224116,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10224117,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10213467,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10212156,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10213485,bitmoji-search-chat,,1,1,0,1,0,0,0,0
9954386,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10227642,bitmoji-search-chat,,0,0,0,1,0,0,0,0
9946310,bitmoji-search-chat,,0,0,0,1,0,0,0,0
20057480,bitmoji-search-chat,,0,0,0,1,0,0,0,0
20037432,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10205852,bitmoji-search-chat,,0,0,0,1,0,0,0,0
20037433,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10233080,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10233086,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10213498,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10218700,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10213496,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10213494,bitmoji-search-chat,,0,1,0,1,0,0,0,0
10213495,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10213492,bitmoji-search-chat,,0,1,0,1,0,0,0,0
20037438,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10185387,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10213489,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10213025,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10218712,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10216534,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10218713,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10214352,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10214350,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10214351,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10224158,bitmoji-search-chat,,0,0,0,1,0,0,0,0
20061959,bitmoji-search-chat,,1,0,0,1,0,0,0,0
10218704,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10218705,bitmoji-search-chat,,1,1,0,1,0,0,0,0
10236534,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10235688,bitmoji-search-chat,,0,0,0,1,0,0,0,0
10236535,bitmoji-search-chat,,0,0,0,1,0,0,0,0
