_id,kind,type,owner_id,ref_id,next
1,19,0,1378525099184291843,,0
2,20,0,1378525099184291843,,0
3,21,0,1378525099184291843,,0
4,12,0,1378525099184291843,,GQwA
5,14,0,1378525099184291843,5555.0,-1
6,17,0,1378525099184291843,5555.0,-1
