word,synonymId
run,1
start,1
perform,1
initiate,1
begin,1
display,2
show,2
check,2
manage,2
tell,2
available,3
unused,3
phone,4
cell,4
mobile,4
device,4
smartphone,4
usage,5
consumption,5
performance,6
speed,6
info,7
stats,7
life,7
status,7
time,7
clear,8
clean,8
space,9
memory,9
optimize,10
save,10
draining,11
killing,11
