stickerId,packId,cacheKey,stickerType,capFriends,capGeo,targetPreview,targetChat,targetOdg,animated,priority,expandable,sponsored,displayCount,stickerPackTitle,boltMediaToken,rank,targetStickerQuickReply,miniAppId,miniShareInfo,capabilities
test_chat_hometab_pack_en_011420~greeting_1.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/xgikFhVG0feij8X2vFzbh?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLje-fAFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~greeting_3.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/fPzVfjQKSNCQfyBBTO4Ql?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLfe-fAFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~greeting_7-revised.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/dtp2phrcAS4cfeW3vpMwe?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLTe-fAFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~greeting_8.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/nk5Xp5idDsGOsVfkjBKtV?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLXe-fAFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~greeting_6-revised.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/8dytl14V1r48xk9iRzJIF?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLXe-fAFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~omg.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,,0,0,,,
test_chat_hometab_pack_en_011420~lets_celebrate.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/LuqoxGkIeVRp0eYmmz1rg?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLm10fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~greeting_2.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,,0,0,,,
test_chat_hometab_pack_en_011420~this.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,,0,0,,,
test_chat_hometab_pack_en_011420~nice_job.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/fe1qFpTrTp4RyrKxZwf1W?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLy10fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~studying.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/TrfpfhPCKqO5MU7WoYerE?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCL210fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~thank_you.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/KIjKz1TUZaOmBTWzANcaa?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCL610fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~tired.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/WFb28Coo6tw8kffrJt2v1?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCL-10fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~turn_it_up.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/ukOuaSljdmOstARtXpxo2?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMC10fIFSAJQB2AB&uc=7,0,0,,,
test_chat_hometab_pack_en_011420~wow_so_cool.png,test_chat_hometab_pack_en_011420,497231633,,0,0,0,1,0,0,1000,0,0,7,,https://bolt-gcdn.sc-cdn.net/3/rYmb08YJqAwoJyLdSCdIE?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMC10fIFSAJQB2AB&uc=7,0,0,,,
