id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers
f22e07ef-3130-4667-bc77-8e2004f6b330,0,com.google.android.apps.play.movies.common.service.workmanager.MoviesWorkerWrapper,,b'\xac\xed\x00\x05w\x15\x00\x00\x00\x01\x00\x0fworker_name_keyt\x00\x14RefreshLicenseWorker',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,172800000,172800000,0,0,30000,1626959495506,0,1626959495520,0,1,0,0,0,0,-1,-1,
fca2f916-024c-4351-8b5e-cc598d73cf68,0,com.google.android.apps.play.movies.common.service.workmanager.MoviesWorkerWrapper,,b'\xac\xed\x00\x05w\x15\x00\x00\x00\x01\x00\x0fworker_name_keyt\x00\rQoePingWorker',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,86400000,86400000,0,0,30000,0,0,1626205609090,0,2,1,0,0,0,-1,-1,
db36a53e-b20a-4cab-9aae-59c82ef209af,2,com.google.android.apps.play.movies.common.service.workmanager.MoviesWorkerWrapper,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x15\x00\x00\x00\x01\x00\x0fworker_name_keyt\x00\x0fAppUpdateWorker',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626959495314,0,1626959495323,0,0,0,0,0,0,-1,-1,
