docid,c0key,c1title,c2summary,c3screentitle,c4keywords,c5icon,c6fragment,c7controller,c8action_type,c9recoverable,c10restore_key,c11target_fragment,c12payload
13,lift_to_wake,Lift to wake,Turn on the screen when you pick up your phone.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.LiftToWakePreferenceController,1,0,,,
14,double_tab_to_wake_up,Double tap to turn on screen,Turn on the screen when you double tap it.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DoubleTapToWakeUpPreferenceController,1,0,,,
15,double_tap_to_sleep,Double tap to turn off screen,Double tap an empty space on the Home or Lock screen.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DoubleTapToSleepPreferenceController,1,0,,,
16,palm_touch_to_sleep,Palm touch to turn off screen,Cover the screen with your palm to turn it off. This won't work while the keyboard is displayed.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.PalmTouchToSleepPreferenceController,1,0,,,
17,smart_stay,Keep screen on while viewing,"Keep the screen on while you're looking at it, using the front camera to detect your face.",Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.SmartStayPreferenceController,1,0,,,
18,shake_to_share,Shake to share,Share pictures and videos by shaking your phone while a friend shakes theirs.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.ShakeToSharePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.ShakeToShareSettings,
19,smart_alert,Alert when phone picked up,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.SmartAlertPreferenceController,1,0,,,
20,direct_call,Pick up phone to call,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DirectCallPreferenceController,1,0,,,
21,finger_sensor_gesture,Finger sensor gestures,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.FingerSensorGesturePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.FingerSensorGestureSettings,
22,palm_swipe_to_capture,Palm swipe to capture,Swipe the edge of your hand across the screen to take a screenshot.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.PalmSwipeToCapturePreferenceController,1,0,,,
23,easy_mute,Mute with gestures,Mute incoming calls and alarms by putting your hand over the screen or turning your phone face down.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.EasyMutePreferenceController,1,0,,,
24,dark_mode,Dark mode settings,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecDarkModePreferenceController,101,0,,,
25,auto_brightness,Adaptive brightness,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecAutoBrightnessPreferenceController,1,0,,,
26,screen_mode,Screen mode,Select the screen mode.,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.ScreenModePreferenceController,0,0,,com.samsung.android.settings.display.NewModePreview,
27,screen_timeout,Screen timeout, ,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecTimeoutPreferenceController,0,0,,,
28,edge_screen,Edge panels,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.EdgeScreenPreferenceController,1,0,,,
29,screen_off_pocket,Accidental touch protection,"Protect your phone from accidental touches when it's in a dark place, such as a pocket or bag.",Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.BlockAccidentalTouchesPreferenceController,1,0,,,
30,increse_touch_sensetivity,Touch sensitivity,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecTouchSensitivityPreferenceController,1,0,,,
31,show_charging_info,Show charging information,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecShowChargingInfoPreferenceController,1,0,,,
32,blue_light_filter,Eye comfort shield,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.EyeComfortPreferenceController,1,0,,,
33,sec_screen_size,Screen zoom,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecScreenSizePreferenceController,0,0,,,
34,vibrate_when_ringing,Vibrate while ringing,,Sounds and vibration,,0,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.VibrateWhenRingPreferenceController,1,0,,,
35,account_preference,Manage accounts,,Accounts and backup,,0,com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.controller.AccountPreferenceController,0,0,,com.android.settings.accounts.AccountDashboardFragment,
36,nfc_settings,NFC and contactless payments,,Connections,,0,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.nfc.NfcPreferenceController,1,0,,com.samsung.android.settings.nfc.NfcSettings,
37,nfc_settings_gp,NFC/Osaifu-Keitai settings,,Connections,,0,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.nfc.NfcPreferenceController,1,0,,com.samsung.android.settings.nfc.NfcSettings,
38,toggle_airplane,Airplane mode,,Connections,,0,com.samsung.android.settings.connection.ConnectionsSettings,com.android.settings.network.AirplaneModePreferenceController,1,0,,com.samsung.android.settings.connection.AirplaneModeSettings,
39,asst_capabilities_actions_replies,Suggest actions and replies for notifications,,Advanced settings,,0,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.android.settings.notification.AssistantCapabilityPreferenceController,1,0,,,
40,notification_badging,App icon badges,,Advanced settings,,0,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.SecAppIconBadgesOnHomeScreenController,1,0,,com.samsung.android.settings.notification.BadgeAppIconSettings,
41,notification_popup_style,Notification pop-up style,,Notifications,,0,com.android.settings.notification.ConfigureNotificationSettings,com.samsung.android.settings.notification.NotificationPopUpStylePreferenceController,101,0,,,
42,zen_mode_notifications,Do not disturb,,Notifications,,0,com.android.settings.notification.ConfigureNotificationSettings,com.android.settings.notification.zen.ZenModePreferenceController,0,0,,com.android.settings.notification.zen.ZenModeSettings,
43,settings_reset,Reset all settings,,Reset,,0,com.android.settings.system.ResetDashboardFragment,com.samsung.android.settings.general.ResetSettingsPreferenceController,0,0,,com.samsung.android.settings.general.ResetSettings,
44,function_key_setting,Side key,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.FunctionKeyPreferenceController,0,0,,com.samsung.android.settings.usefulfeature.FunctionKeySettings,
45,motion_and_gesture,Motions and gestures,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.MotionAndGesturesPreferenceController,0,0,,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,
46,onehand_operation_settings,One-handed mode,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.OneHandedModePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.NewOneHandOperationSettings,
47,direct_share,Show contacts when sharing content,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.DirectSharePreferenceController,1,0,,,
48,hdr_settings,Video brightness,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.VideoEnhancerPreferenceController,0,0,,,
49,dual_app,Dual Messenger,Sign in to a second account in your favorite social apps.,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.DualMessengerPreferenceController,0,0,,,
50,volume_key_control,Use Volume keys for media,Control the media volume by default when you press the Volume keys.,Volume,,0,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecSoundDefaultVolumeController,1,0,,,
51,wifi_adps,Wi-Fi power saving mode,Reduce battery usage by analyzing Wi-Fi traffic patterns.,Advanced,,0,com.android.settings.wifi.ConfigureWifiSettings,com.samsung.android.settings.wifi.WifiPowerSavingModePreferenceController,1,0,,,
52,screen_resolution,,,,,0,,com.samsung.android.settings.display.controller.SecScreenResolutionSingleChoiceController,101,0,,,
53,auto_sync_account_data,,,,,0,,com.samsung.android.settings.account.controller.AutoSyncBaseController,1,0,,,
