_id,dedup_key,suggestion_id,suggestion_priority,suggestion_score,suggestion_type,suggestion_source,suggestion_state,suggestion_reconcile_state
1,ZSW9fiI03LmUT4iBv5vQbLzvx6Q,6958917482760969060,750.0,0.9957743287086487,100,2,1,1
2,z-LpB6NNENGTCmFDzS5S_xK3XnY,6973689450217757807,800.0,1.0,111,2,1,1
3,CJNOZ3IpgJn5OP3F-e6o4MEmiB8,6974077813691821423,800.0,1.0,111,2,1,1
4,pDFSDrpPLcjeKk6AQXNNkZ9-iY0,6980203551134839407,800.0,1.0,111,2,1,1
5,kF-lwkR6ajmM_hTszYZdMPBn3r4,6981511119077535087,800.0,1.0,111,2,1,1
6,3BmK3Szldy0JuKTFVIbLSO38cFE,6981511117213022063,800.0,1.0,111,2,1,1
7,Uuo_RbNFupG1Krbhtkb_cu-8owc,6981511376273367663,800.0,1.0,111,2,1,1
8,44kCBC_8eDW3my2Gt-Q7FQx4K98,6981511635216953199,800.0,1.0,111,2,1,1
9,BYeUWxjXcyFWtt4ap5hfMOshMO0,6981512330748265583,800.0,1.0,111,2,1,1
10,o-mje6QjGobDTRy8OAFB-BeaYOw,6981512806171157359,800.0,1.0,111,2,1,1
11,8j0xLEFo5hMyaRZCN2gxH4f3HuY,6981512805962426735,800.0,1.0,111,2,1,1
12,3EDJxySlkn_b6jd7F1dQ82S7sRY,6981513414993880943,800.0,1.0,111,2,1,1
13,tO9u_EkYrrS9_hHxiSoO0DD6oJw,6982405163243641455,800.0,1.0,111,2,1,1
