row_id,server_perm_id,cluster_config_proto,grouped_in_inbox,write_sequence_id,eviction_eligibility,server_version,type
1,^io_unim,b'\n\x08^io_unim\x12\x08^io_unim8\x01e\x00\x00zDh\x01\x90\x01\x01\xa2\x01\x08^io_unim\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',0,2,0,1213,1
2,^scheduled,b'\n\n^scheduled\x12\n^scheduled8\x01\x90\x01\x05\xa2\x01\n^scheduled\xa8\x01\x03\xc0\x01\x01\xc8\x01\x00',0,2,0,6,5
3,^smartlabel_finance,b'\n\x13^smartlabel_finance\x12\x13^smartlabel_finance8\x00e\x00\x80\xbbDh\x01\x90\x01\x01\xa2\x01\x13^smartlabel_finance\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',1,2,0,1213,1
4,^smartlabel_group,b'\n\x11^smartlabel_group\x12\x11^smartlabel_group8\x01e\x00\x00\x96Dh\x01\x90\x01\x01\xa2\x01\x11^smartlabel_group\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',0,2,0,1213,1
5,^smartlabel_promo,b'\n\x11^smartlabel_promo\x12\x11^smartlabel_promo8\x01e\x00\x80\x89Dh\x01\x90\x01\x01\xa2\x01\x11^smartlabel_promo\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',0,2,0,1213,1
6,^smartlabel_pure_notif,b'\n\x16^smartlabel_pure_notif\x12\x16^smartlabel_pure_notif8\x01e\x00\x80\xa2Dh\x01\x90\x01\x01\xa2\x01\x16^smartlabel_pure_notif\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',0,2,0,1213,1
7,^smartlabel_receipt,b'\n\x13^smartlabel_receipt\x12\x13^smartlabel_receipt8\x00e\x00\x00\xc8Dh\x01\x90\x01\x01\xa2\x01\x13^smartlabel_receipt\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',1,2,0,1213,1
8,^smartlabel_social,b'\n\x12^smartlabel_social\x12\x12^smartlabel_social8\x01e\x00\x00\xafDh\x01\x90\x01\x01\xa2\x01\x12^smartlabel_social\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',0,2,0,1213,1
9,^smartlabel_travel,b'\n\x12^smartlabel_travel\x12\x12^smartlabel_travel8\x00e\x00\x80\xd4Dh\x00\x90\x01\x01\xa2\x01\x12^smartlabel_travel\xa8\x01\x01\xb0\x01\x01\xc0\x01\x01\xc8\x01\x00',1,2,0,1213,1
