RecordId,concept_type,criteria_type
155,viv.time.CalculatedFromNow,DateTime
156,viv.time.ContextDate,DateTime
157,viv.time.ContextDateInterval,DateTime
158,viv.time.Count,DateTime
159,viv.time.CurrentTimeZoneId,DateTime
160,viv.time.Date,DateTime
161,viv.time.DateInterval,Range
162,viv.time.DateIntervalPeriodType,DateTime
163,viv.time.DatePeriod,DateTime
164,viv.time.DatePeriodType,DateTime
165,viv.time.DateTime,DateTime
166,viv.time.DateTimeExpression,DateTime
167,viv.time.DateTimeInterval,Range
168,viv.time.DateTimeIntervalPeriodType,DateTime
169,viv.time.DateTimeIntervalRangeMod,DateTime
170,viv.time.DateTimePeriod,DateTime
171,viv.time.DateTimePeriodType,DateTime
172,viv.time.DateTimePrecision,DateTime
173,viv.time.DateTimeZone,DateTime
174,viv.time.Day,DateTime
175,viv.time.DayOfWeek,DateTime
176,viv.time.DetachedTime,DateTime
177,viv.time.DurationPeriod,Duration
178,viv.time.EarlyDateInterval,DateTime
179,viv.time.EarlyDateTimeInterval,DateTime
180,viv.time.EndDate,DateTime
181,viv.time.EndDateTime,DateTime
182,viv.time.EndOfDateInterval,DateTime
183,viv.time.EndOfDateTimeInterval,DateTime
184,viv.time.EndTime,DateTime
185,viv.time.EndingBeforeDate,DateTime
186,viv.time.EndingBeforeDateInterval,DateTime
187,viv.time.EndingBeforeDateTime,DateTime
188,viv.time.EndingBeforeDateTimeInterval,DateTime
189,viv.time.EndingDate,DateTime
190,viv.time.EndingDateInterval,DateTime
191,viv.time.EndingDateTime,DateTime
192,viv.time.EndingDateTimeInterval,DateTime
193,viv.time.ExplicitComputationFromContext,DateTime
194,viv.time.ExplicitDirectionFromNow,DateTime
195,viv.time.ExplicitOffsetFromContext,DateTime
196,viv.time.ExplicitOffsetFromNow,DateTime
197,viv.time.FuzzyFactor,DateTime
198,viv.time.Holiday,DateTime
199,viv.time.HolidayInterval,DateTime
200,viv.time.Hour,DateTime
201,viv.time.LateDateInterval,DateTime
202,viv.time.LateDateTimeInterval,DateTime
203,viv.time.LunarDate,DateTime
204,viv.time.LunarMonthType,DateTime
205,viv.time.MiddleDateInterval,DateTime
206,viv.time.MiddleDateTimeInterval,DateTime
207,viv.time.Millisecond,DateTime
208,viv.time.Minute,DateTime
209,viv.time.Month,DateTime
210,viv.time.MonthDay,DateTime
211,viv.time.MonthName,DateTime
212,viv.time.NamedDate,DateTime
213,viv.time.NamedTime,DateTime
214,viv.time.Nth,DateTime
215,viv.time.NthDateIntervalPeriod,DateTime
216,viv.time.NthDatePeriod,DateTime
217,viv.time.NthDateTimeIntervalPeriod,DateTime
218,viv.time.NthDateTimePeriod,DateTime
219,viv.time.ParseDate,DateTime
220,viv.time.ParseDateInterval,DateTime
221,viv.time.ParseDateTime,DateTime
222,viv.time.ParseDateTimeInterval,DateTime
223,viv.time.Period,DateTime
233,viv.time.Recurrence,DateTime
234,viv.time.RecurringPeriod,DateTime
235,viv.time.RelativeNamedDateInterval,DateTime
236,viv.time.RelativeNamedTimeInterval,DateTime
237,viv.time.Season,DateTime
238,viv.time.Second,DateTime
239,viv.time.StartDate,DateTime
240,viv.time.StartDateTime,DateTime
241,viv.time.StartOfDateInterval,DateTime
242,viv.time.StartOfDateTimeInterval,DateTime
243,viv.time.StartTime,DateTime
244,viv.time.StartingAfterDate,DateTime
245,viv.time.StartingAfterDateInterval,DateTime
246,viv.time.StartingAfterDateTime,DateTime
247,viv.time.StartingAfterDateTimeInterval,DateTime
248,viv.time.StartingDate,DateTime
249,viv.time.StartingDateInterval,DateTime
250,viv.time.StartingDateTime,DateTime
251,viv.time.StartingDateTimeInterval,DateTime
252,viv.time.Tense,DateTime
253,viv.time.Time,DateTime
254,viv.time.TimeInterval,Range
255,viv.time.TimeZoneId,DateTime
256,viv.time.TwoDigitYear,DateTime
257,viv.time.UTCInstant,DateTime
258,viv.time.Year,DateTime
