_id,media_id,sec_media_id,uri,_data,media_type,datetaken,date_added,latitude,longitude,image_quality,face_count,title,is_duplicate,scene_names,locale,country_name,just_shot,country_code,locality,is_delete,poi_name,poi_city,street_name,user_tag_data,storage_id,image_clusterid,image_screener,duration,moment_id,width,height,_size,recordingtype,hasExifInfo,serviceflag,orientation,smartcrop_rect,file_status,isSelfieImage,is_cloud,group_id,burst_group_id,landmark_names,is_drm,mp_id,cloud_server_id,group_type,mime_type
12,12,2147483660,content://secmedia/media/2147483660,/storage/emulated/0/DCIM/Camera/20210411_235603.jpg,1,1618199764000,1618199766,37.235496520996094,-80.43693542480469,1,1,20210411_235603,0.0,"glasses,people",,,1,,,0,Sturbridge Square,Blacksburg,,,65537,10,"blur=0.167232,brightnessMean=0.631922,contrast=0.863281,featureNumber=0.549991,featurePointDistribution=0.998707,motionBlur=0.263319,outFocusBackground=0.935921,overExposure=0.194871,skylineIncline=0.000000,underExposure=0.005663,totalQuality=1.000000",0,4,2944,2208,1095777,0,1,268435522,90,"0.29211956,0.14130434,0.9986413,1.0,0.035326086,0.0,0.78532606,1.0,0.0,0.0,1.0,1.0,0.4375,0.0,1.0,1.0,0.0,0.2155797,1.0,0.9655797,0.2853261,0.0,0.70788044,1.0",0,0,1,0,0,,0,36,,0,
13,13,2147483661,content://secmedia/media/2147483661,/storage/emulated/0/DCIM/Camera/20210415_062737.jpg,1,1618482457000,1618482459,38.70802307128906,-81.96715545654297,1,0,20210415_062737,0.0,"scenery,streets",,United States,0,US,Southside,0,,,Kanawha Valley Road,,65537,12,"blur=0.560944,brightnessMean=0.495617,contrast=0.816406,featureNumber=0.388796,featurePointDistribution=0.999289,motionBlur=0.707264,outFocusBackground=0.822289,overExposure=0.006297,skylineIncline=0.100704,underExposure=0.011065,totalQuality=0.999869",0,5,4032,3024,4008883,0,1,66,0,"0.25,0.2857143,0.78571427,0.71428573,0.1235119,0.0,0.8735119,1.0,0.22321428,0.0,0.78571427,1.0,0.0,0.0,1.0,1.0,0.2857143,0.0,0.7083333,1.0,0.0,0.09920635,1.0,0.8492063",0,0,1,0,0,,0,39,,0,
14,14,2147483662,content://secmedia/media/2147483662,/storage/emulated/0/DCIM/Camera/20210415_062752.jpg,1,1618482472000,1618482474,38.71188735961914,-81.96760559082031,1,0,20210415_062752,0.0,"scenery,night_scenes",,United States,0,,,0,The Thornburg Farm,Southside,,,65537,11,"blur=0.814474,brightnessMean=0.527060,contrast=0.855469,featureNumber=0.326399,featurePointDistribution=0.992903,motionBlur=0.641931,outFocusBackground=0.719742,overExposure=0.006164,skylineIncline=0.066845,underExposure=0.004434,totalQuality=0.999192",0,5,4032,3024,2784533,0,1,66,0,"0.32142857,0.14285715,0.5714286,0.60714287,0.10714286,0.0,0.85714287,1.0,0.1875,0.0,0.75,1.0,0.0,0.0,1.0,1.0,0.2470238,0.0,0.66964287,1.0,0.0,0.0,1.0,0.75",0,0,1,0,0,,0,40,,0,
15,15,2147483663,content://secmedia/media/2147483663,/storage/emulated/0/DCIM/Camera/20210515_200351.jpg,1,1621123431000,1621123432,37.34928512573242,-80.53860473632812,1,0,20210515_200351,0.0,"scenery,mountains",,United States,1,,,0,,,,,65537,14,"blur=0.034351,brightnessMean=0.612173,contrast=0.777344,featureNumber=0.686456,featurePointDistribution=0.590245,motionBlur=0.035515,outFocusBackground=0.958990,overExposure=0.114678,skylineIncline=0.022282,underExposure=0.000047,totalQuality=0.000000",0,6,4032,1908,2570999,0,1,66,0,"0.3560794,0.39107612,0.7133995,0.6771653,0.25558314,0.0,0.7282878,1.0,0.3126551,0.0,0.6674938,1.0,0.17866005,0.0,0.808933,1.0,0.3548387,0.0,0.6203474,1.0,0.07692308,0.0,0.91687346,1.0",0,0,1,0,0,,0,42,,0,image/jpeg
16,16,2147483664,content://secmedia/media/2147483664,/storage/emulated/0/DCIM/Camera/20210515_200353.jpg,1,1621123433000,1621123434,37.349300384521484,-80.53861236572266,1,0,20210515_200353,0.0,"scenery,mountains",,United States,1,,,0,,,,,65537,15,"blur=0.152428,brightnessMean=0.510351,contrast=0.703125,featureNumber=0.710895,featurePointDistribution=0.690401,motionBlur=0.055381,outFocusBackground=0.962541,overExposure=0.000067,skylineIncline=0.011577,underExposure=0.002424,totalQuality=0.994101",0,6,4032,1908,2471633,0,1,66,0,"0.46401986,0.328084,0.74937963,0.52755904,0.2853598,0.0,0.7580645,1.0,0.44168735,0.0,0.7965261,1.0,0.19975185,0.0,0.83002484,1.0,0.39702234,0.0,0.662531,1.0,0.08684864,0.0,0.926799,1.0",0,0,1,0,0,,0,43,,0,image/jpeg
17,17,2147483665,content://secmedia/media/2147483665,/storage/emulated/0/DCIM/Camera/20210515_200356.jpg,1,1621123436000,1621123437,37.349300384521484,-80.53861236572266,1,0,20210515_200356,0.0,"scenery,mountains",,United States,1,,,0,,,,,65537,14,"blur=0.316163,brightnessMean=0.527718,contrast=0.699219,featureNumber=0.595907,featurePointDistribution=0.407059,motionBlur=0.467320,outFocusBackground=0.910626,overExposure=0.004661,skylineIncline=0.022282,underExposure=0.000187,totalQuality=0.000000",0,6,4032,1908,2285561,0,1,66,0,"0.10669975,0.46194226,0.5707196,0.9632546,0.09801489,0.0,0.5707196,1.0,0.26550868,0.0,0.6203474,1.0,0.094292805,0.0,0.72456574,1.0,0.3548387,0.0,0.6203474,1.0,0.094292805,0.0,0.9342432,1.0",0,0,1,0,0,,0,44,,0,image/jpeg
18,18,2147483666,content://secmedia/media/2147483666,/storage/emulated/0/DCIM/Camera/20210515_200400.jpg,1,1621123440000,1621123442,37.34929656982422,-80.53861999511719,1,0,20210515_200400,0.0,scenery,,United States,1,,,0,,,,,65537,13,"blur=0.283299,brightnessMean=0.537044,contrast=0.687500,featureNumber=0.736511,featurePointDistribution=0.664892,motionBlur=0.137920,outFocusBackground=0.966256,overExposure=0.000501,skylineIncline=0.111408,underExposure=0.000681,totalQuality=1.000000",0,6,4032,1908,2744945,0,1,66,0,"0.3560794,0.42782152,0.7133995,0.6771653,0.2580645,0.0,0.7307692,1.0,0.31513646,0.0,0.66997516,1.0,0.18114144,0.0,0.8114144,1.0,0.3585608,0.0,0.62406945,1.0,0.07816377,0.0,0.9181141,1.0",0,0,1,0,0,,0,45,,0,image/jpeg
19,19,2147483667,content://secmedia/media/2147483667,/storage/emulated/0/DCIM/Camera/20210515_201332.jpg,1,1621124012000,1621124013,37.34929656982422,-80.53861999511719,1,0,20210515_201332,0.0,scenery,,United States,1,US,Newport,0,,,Bald Knob Tower Road,,65537,16,"blur=0.439857,brightnessMean=0.563277,contrast=0.757813,featureNumber=0.655211,featurePointDistribution=0.607663,motionBlur=0.443545,outFocusBackground=0.947158,overExposure=0.012687,skylineIncline=0.066845,underExposure=0.000341,totalQuality=0.182745",0,6,4032,1908,2094060,0,1,66,0,"0.3560794,0.32020998,0.74937963,0.53543305,0.27667493,0.0,0.74937963,1.0,0.3300248,0.0,0.6848635,1.0,0.18858561,0.0,0.81885856,1.0,0.37593052,0.0,0.6414392,1.0,0.08188586,0.0,0.92183626,1.0",0,0,1,0,0,,0,46,,0,image/jpeg
20,20,2147483668,content://secmedia/media/2147483668,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210515-234501_Instagram.jpg,1,1621136701436,1621136701,0.0,0.0,1,0,Screenshot_20210515-234501_Instagram,0.0,cars,,,1,,,0,,,,,65537,17,"blur=0.250524,brightnessMean=0.827610,contrast=0.843750,featureNumber=0.578695,featurePointDistribution=0.872088,motionBlur=0.103271,outFocusBackground=0.935388,overExposure=0.434197,skylineIncline=0.011577,underExposure=0.000896,totalQuality=1.000000",0,7,1080,2280,713512,0,1,66,0,"0.25,0.39210525,0.99722224,0.85657895,0.0,0.38289472,1.0,0.85657895,0.0,0.24868421,1.0,0.88026315,0.0,0.4276316,1.0,0.78289473,0.0,0.15657894,1.0,0.9986842,0.0,0.4276316,1.0,0.69473684",0,0,1,0,0,,0,47,,0,image/jpeg
21,21,2147483669,content://secmedia/media/2147483669,/storage/emulated/0/DCIM/Camera/20210519_205204.jpg,1,1621471925000,1621471927,37.22383117675781,-80.41773223876953,1,0,20210519_205204,0.0,,,United States,1,US,Blacksburg,0,,,Washington Street Southwest,,65537,24,"blur=0.014264,brightnessMean=0.548876,contrast=0.820313,featureNumber=0.765926,featurePointDistribution=0.664433,motionBlur=0.167277,outFocusBackground=0.959145,overExposure=0.003773,skylineIncline=0.061493,underExposure=0.000220,totalQuality=1.000000",0,8,4032,1908,3536927,0,1,66,90,"0.0,0.5013123,0.6426799,0.8950131,0.0,0.0,0.4727047,1.0,0.0,0.0,0.6302729,1.0,0.0,0.0,0.3548387,1.0,0.0,0.0,0.8399504,1.0,0.008684863,0.0,0.27419356,1.0",0,0,1,0,0,,0,48,,0,image/jpeg
