_id,mid,seq,ct,name,chset,cd,fn,cid,cl,ctt_s,ctt_t,_data,text,sef_type
1,1,-1,application/smil,,,,,<smil>,smil.xml,,,,"<smil><head><layout><root-layout/><region id=""Image"" fit=""meet"" top=""0"" left=""0"" height=""100%"" width=""100%""/></layout></head><body><par dur=""5000ms""><img src=""Resized_Screenshot_20210705-142955_Cartomizer.jpeg"" region=""Image"" /></par><par dur=""5000ms""><img src=""Resized_20210703_192751.jpeg"" region=""Image"" /></par><par dur=""5000ms""><img src=""Resized_20210703_192806.jpeg"" region=""Image"" /></par></body></smil>",0
2,1,0,image/jpeg,,,,,<Resized_Screenshot_20210705-142955_Cartomizer>,Resized_Screenshot_20210705-142955_Cartomizer.jpeg,,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644543_Resized_Screenshot_20210705-142955_Cartomizer.jpeg,,0
3,1,0,image/jpeg,,,,,<Resized_20210703_192751>,Resized_20210703_192751.jpeg,,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644555_Resized_20210703_192751.jpeg,,0
4,1,0,image/jpeg,,,,,<Resized_20210703_192806>,Resized_20210703_192806.jpeg,,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644568_Resized_20210703_192806.jpeg,,0
