config,param,value,type,logging_id
__meta__,query_string,ls_waterfall_sampling:should_log_waterfall|ios_lightspeed_data_trace_config:append_trace_id_to_topic:message_send_trace_sample_rate:rich_media_download_sample_rate:rich_media_upload_sample_rate:securemessage_send_trace_sample_rate:sync_client_mode_enabled:sync_group_contact_enabled:sync_group_experiment_enabled:sync_group_mailbox_enabled:sync_group_securemailbox_enabled:sync_group_settings_enabled:sync_group_stories_enabled:task_client_mode_enabled:task_client_mode_tincan_act_enabled:task_label_10005_request_id_sample_rate:task_label_145_request_id_sample_rate:task_label_145_send_trace_sample_rate:task_label_20001_send_trace_sample_rate:task_label_209_request_id_sample_rate:task_label_209_send_trace_sample_rate:task_label_228_request_id_sample_rate:task_label_228_send_trace_sample_rate:task_label_255_send_trace_sample_rate:task_label_46_request_id_sample_rate:task_label_4_send_trace_sample_rate:trace_time_window_ms|msys_sync_config:background_sync_optimization_enabled:minimal_sync_interval:skip_sync_when_no_mqtt:skip_sync_when_no_network:skip_task_when_no_network|msys_tam_trace_config:enable_tam_armadillo_group_action_trace:enable_tam_armadillo_media_download:enable_tam_armadillo_media_receive:enable_tam_armadillo_media_send:enable_tam_armadillo_message_send:enable_tam_carrier_message_send:enable_tam_message_receive_trace:enable_tam_message_send_trace|msys_tam_contact_sync:enable_tam_contact_sync|,5,
__meta__,query_hash,6f62bca4124c063555dd8be8843246188aedafdde703cb6362f7e320b9f2e989,5,
ls_waterfall_sampling,should_log_waterfall,0,1,
ios_lightspeed_data_trace_config,append_trace_id_to_topic,,0,
ios_lightspeed_data_trace_config,message_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,rich_media_download_sample_rate,,0,
ios_lightspeed_data_trace_config,rich_media_upload_sample_rate,,0,
ios_lightspeed_data_trace_config,securemessage_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,sync_client_mode_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_contact_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_experiment_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_mailbox_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_securemailbox_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_settings_enabled,0,1,
ios_lightspeed_data_trace_config,sync_group_stories_enabled,0,1,
ios_lightspeed_data_trace_config,task_client_mode_enabled,0,1,
ios_lightspeed_data_trace_config,task_client_mode_tincan_act_enabled,0,1,
ios_lightspeed_data_trace_config,task_label_10005_request_id_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_145_request_id_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_145_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_20001_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_209_request_id_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_209_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_228_request_id_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_228_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_255_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_46_request_id_sample_rate,,0,
ios_lightspeed_data_trace_config,task_label_4_send_trace_sample_rate,,0,
ios_lightspeed_data_trace_config,trace_time_window_ms,120000,3,
msys_sync_config,background_sync_optimization_enabled,,0,
msys_sync_config,minimal_sync_interval,2000,3,
msys_sync_config,skip_sync_when_no_mqtt,0,1,
msys_sync_config,skip_sync_when_no_network,,0,
msys_sync_config,skip_task_when_no_network,,0,
msys_tam_trace_config,enable_tam_armadillo_group_action_trace,0,1,
msys_tam_trace_config,enable_tam_armadillo_media_download,1,1,
msys_tam_trace_config,enable_tam_armadillo_media_receive,0,1,
msys_tam_trace_config,enable_tam_armadillo_media_send,1,1,
msys_tam_trace_config,enable_tam_armadillo_message_send,1,1,
msys_tam_trace_config,enable_tam_carrier_message_send,0,1,
msys_tam_trace_config,enable_tam_message_receive_trace,1,1,
msys_tam_trace_config,enable_tam_message_send_trace,1,1,
msys_tam_contact_sync,enable_tam_contact_sync,0,1,
