name,seq
persistenceFocusmode,3
persistenceParentalcontrol,1
persistenceOnboarding,1
persistencePromovence,1
persistenceUsageData,5
persistenceWinddown,4
persistenceNotiSummary,1
persistenceHome,1
persistenceTestMode,1
