_id,AREA_CODE
1,201
2,203
3,204
4,205
5,206
6,207
7,208
8,209
9,210
10,212
11,213
12,214
13,215
14,216
15,217
16,218
17,219
18,224
19,225
20,226
21,228
22,229
23,231
24,234
25,239
26,240
27,242
28,246
29,248
30,250
31,251
32,252
33,253
34,254
35,256
36,260
37,262
38,264
39,267
40,268
41,269
42,270
43,276
44,281
45,284
46,289
47,301
48,302
49,303
50,304
51,305
52,306
53,307
54,308
55,309
56,310
57,312
58,313
59,314
60,315
61,316
62,317
63,318
64,319
65,320
66,321
67,323
68,325
69,330
70,334
71,336
72,337
73,339
74,340
75,345
76,347
77,351
78,352
79,360
80,361
81,386
82,401
83,402
84,403
85,404
86,405
87,406
88,407
89,408
90,409
91,410
92,412
93,413
94,414
95,415
96,416
97,417
98,418
99,419
100,423
101,424
102,425
103,430
104,432
105,434
106,435
107,440
108,441
109,443
110,450
111,469
112,473
113,478
114,479
115,480
116,484
117,501
118,502
119,503
120,504
121,505
122,506
123,507
124,508
125,509
126,510
127,512
128,513
129,514
130,515
131,516
132,517
133,518
134,519
135,520
136,530
137,540
138,541
139,551
140,559
141,561
142,562
143,563
144,567
145,570
146,571
147,573
148,574
149,575
150,580
151,585
152,586
153,601
154,602
155,603
156,604
157,605
158,606
159,607
160,608
161,609
162,610
163,612
164,613
165,614
166,615
167,616
168,617
169,618
170,619
171,620
172,623
173,626
174,630
175,631
176,636
177,641
178,646
179,647
180,649
181,650
182,651
183,660
184,661
185,662
186,664
187,670
188,671
189,678
190,682
191,684
192,701
193,702
194,703
195,704
196,705
197,706
198,707
199,708
200,709
201,712
202,713
203,714
204,715
205,716
206,717
207,718
208,719
209,720
210,724
211,727
212,731
213,732
214,734
215,740
216,754
217,757
218,758
219,760
220,763
221,765
222,767
223,769
224,770
225,772
226,773
227,774
228,775
229,778
230,780
231,781
232,784
233,785
234,786
235,787
236,800
237,801
238,802
239,803
240,804
241,805
242,806
243,807
244,808
245,809
246,810
247,812
248,813
249,814
250,815
251,816
252,817
253,818
254,819
255,828
256,829
257,830
258,831
259,832
260,843
261,845
262,847
263,848
264,850
265,856
266,857
267,858
268,859
269,860
270,862
271,863
272,864
273,865
274,866
275,867
276,868
277,869
278,870
279,876
280,877
281,878
282,888
283,901
284,902
285,903
286,904
287,905
288,906
289,907
290,908
291,909
292,910
293,912
294,913
295,914
296,915
297,916
298,917
299,918
300,919
301,920
302,925
303,928
304,931
305,936
306,937
307,939
308,940
309,941
310,947
311,949
312,951
313,952
314,954
315,956
316,970
317,971
318,972
319,973
320,978
321,979
322,980
323,989
