corpus_name,incarnation,seqno_table_complete
contacts_contact_id,1617476969213-a8f61659a68fa305,1
phones_data_id,1617476971406-26cfc7b234231f7a,1
emails_data_id,1624867117235-88cea12f79494aa9,1
postals_data_id,1624867117390-247c7c4c9500f034,1
