nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,4
2,1,1,5,0,0,0,4
3,3,12,8,0,0,0,4
4,1,1,20,0,0,0,4
5,3,12,23,0,0,0,4
6,3,1,1,0,-1,128,4
7,3,1,1,0,0,0,4
8,1,2,4,0,0,0,4
9,3,1,15,0,0,0,4
10,1,2,14,0,0,0,4
11,1,2,19,0,0,0,4
12,3,2,2,0,0,0,4
13,1,3,5,0,0,0,4
14,1,3,8,0,0,0,4
15,1,3,15,0,0,0,4
16,1,3,21,0,0,0,4
17,1,4,1,0,0,0,4
18,1,4,5,0,0,0,4
19,1,4,20,0,0,0,4
20,1,5,1,0,0,0,4
21,1,5,4,0,0,0,4
22,1,5,5,0,0,0,4
23,1,5,7,0,0,0,4
24,1,5,2,1,0,0,4
25,1,5,21,0,0,0,4
26,3,5,5,0,0,0,4
27,1,6,1,0,0,0,4
28,1,6,6,0,0,0,4
29,1,6,21,0,0,0,4
30,1,6,3,1,0,0,4
31,1,7,23,0,0,0,4
32,3,7,7,0,0,0,4
33,3,7,15,0,0,0,4
34,1,8,1,0,0,0,4
35,3,8,15,0,0,0,4
36,1,9,8,0,0,0,4
37,1,9,10,0,0,0,4
38,1,9,23,0,0,0,4
39,3,9,9,0,0,0,4
40,1,10,1,0,0,0,4
41,1,10,8,0,0,0,4
42,1,10,23,0,0,0,4
43,1,11,7,0,0,0,4
44,1,11,11,0,0,0,4
45,1,11,22,0,0,0,4
46,1,12,7,0,0,0,4
47,1,12,22,0,0,0,4
48,1,3,12,0,0,0,4
49,1,3,14,0,0,0,4
50,1,4,4,0,0,0,4
51,1,7,1,0,0,0,4
52,1,12,1,0,0,0,4
53,1,12,24,0,0,0,4
54,1,12,25,0,0,0,4
55,3,4,8,0,0,0,4
56,3,3,3,0,0,0,4
57,3,3,23,0,0,0,4
58,3,1,5,0,0,0,4
59,3,2,15,0,0,0,4
60,3,6,6,0,0,0,4
61,3,10,1,0,0,0,4
62,3,10,15,0,0,0,4
63,3,8,1,0,-1,0,4
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
