update_time,event_type,event_value
1626743379348,2,1
1626743379348,1,61
1626743425989,2,1
1626743425989,1,62
1626743471810,2,1
1626743471810,1,63
1626743512103,2,1
1626743512103,1,64
1626743552368,2,1
1626743552368,1,65
1626743592927,2,1
1626743592927,1,66
1626743633201,2,1
1626743633201,1,67
1626743673445,2,1
1626743673445,1,68
1626743713714,2,1
1626743713714,1,69
1626743753987,2,1
1626743753987,1,70
1626743794564,2,1
1626743794564,1,71
1626743834843,2,1
1626743834843,1,72
1626743875110,2,1
1626743875110,1,73
1626743925431,2,1
1626743925431,1,74
1626743966001,2,1
1626743966001,1,75
1626744016330,2,1
1626744016330,1,76
1626744066665,2,1
1626744066665,1,77
1626744127087,2,1
1626744127087,1,78
1626744177739,2,1
1626744177739,1,79
1626744238132,2,1
1626744238132,1,80
1626744308633,2,1
1626744308633,1,81
1626744369319,2,1
1626744369319,1,82
1626744449779,2,1
1626744449779,1,83
1626744520518,2,1
1626744520518,1,84
1626744601085,2,1
1626744601085,1,85
1626744691916,2,1
1626744691916,1,86
1626744782539,2,1
1626744782539,1,87
1626744883511,2,1
1626744883511,1,88
1626744994269,2,1
1626744994269,1,89
1626745115390,2,1
1626745115390,1,90
1626745241205,2,1
1626745241205,1,91
1626745381406,2,1
1626745381406,1,92
1626745539098,2,1
1626745539098,1,93
1626745617089,2,1
1626745617089,1,94
1626745696147,2,1
1626745696147,1,95
1626745752836,2,1
1626745752836,1,96
1626745845011,2,1
1626745845011,1,97
1626745905146,2,1
1626745905146,1,98
1626745906675,2,1
1626745906675,1,99
1626745910179,2,1
1626745910179,1,100
1626746204767,2,0
1626746204767,1,100
1626746691424,2,0
1626746691424,1,99
1626748959690,2,0
1626748959690,1,98
1626749230627,2,0
1626749230627,1,97
1626749471218,2,0
1626749471218,1,96
1626749711802,2,0
1626749711802,1,95
1626751501895,2,0
1626751501895,1,94
1626756697431,2,0
1626756697431,1,93
1626762997471,2,0
1626762997471,1,92
1626768622740,2,0
1626768622740,1,91
1626776327945,2,0
1626776327945,1,90
1626782613853,2,0
1626782613853,1,89
1626790850847,2,0
1626790850847,1,88
1626796309075,2,0
1626796309075,1,87
1626802360034,2,0
1626802360034,1,86
1626806622994,2,0
1626806622994,1,85
1626807741365,2,0
1626807741365,1,84
1626807891944,2,0
1626807891944,1,83
1626811930364,2,0
1626811930364,1,82
1626813033319,2,0
1626813033319,1,81
1626815618947,2,0
1626815618947,1,80
1626824268263,2,0
1626824268263,1,79
1626832145490,2,0
1626832145490,1,78
1626836126117,2,0
1626836126117,1,77
1626842185119,2,0
1626842185119,1,76
1626847999043,2,0
1626847999043,1,75
1626853884946,2,0
1626853884946,1,74
1626860184894,2,0
1626860184894,1,73
1626865042857,2,0
1626865042857,1,72
1626870512938,2,0
1626870512938,1,71
1626876462293,2,0
1626876462293,1,70
1626878340797,2,1
1626878340797,1,70
1626878379894,2,1
1626878379894,1,71
1626878430086,2,1
1626878430086,1,72
1626878479056,2,1
1626878479056,1,73
1626878519562,2,1
1626878519562,1,74
1626878566205,2,1
1626878566205,1,75
1626878614081,2,1
1626878614081,1,76
1626878661903,2,1
1626878661903,1,77
1626878709042,2,1
1626878709042,1,78
1626878757247,2,1
1626878757247,1,79
1626878805710,2,1
1626878805710,1,80
1626878867493,2,1
1626878867493,1,81
1626878913946,2,1
1626878913946,1,82
1626878973553,2,1
1626878973553,1,83
1626879038158,2,1
1626879038158,1,84
1626879097451,2,1
1626879097451,1,85
1626879161026,2,1
1626879161026,1,86
1626879235416,2,1
1626879235416,1,87
1626879313369,2,1
1626879313369,1,88
1626879386220,2,1
1626879386220,1,89
1626879465706,2,1
1626879465706,1,90
1626879552707,2,1
1626879552707,1,91
1626879647972,2,1
1626879647972,1,92
1626879752392,2,1
1626879752392,1,93
1626879865635,2,1
1626879865635,1,94
1626879993346,2,1
1626879993346,1,95
1626880125524,2,1
1626880125524,1,96
1626880273830,2,1
1626880273830,1,97
1626880376813,2,1
1626880376813,1,98
1626880446692,2,1
1626880446692,1,99
1626880504242,2,1
1626880504242,1,100
1626883177729,2,0
1626883177729,1,100
1626883920847,2,0
1626883920847,1,99
1626884043909,2,2
1626884043909,1,99
1626884078817,2,2
1626884078817,1,100
1626898611973,2,0
1626898611973,1,100
1626899112575,2,0
1626899112575,1,99
1626902484614,2,0
1626902484614,1,98
1626903655489,2,0
1626903655489,1,97
1626907291628,2,0
1626907291628,1,96
1626912728390,2,0
1626912728390,1,95
1626916659122,2,0
1626916659122,1,94
1626916960298,2,0
1626916960298,1,93
1626917230850,2,0
1626917230850,1,92
1626917531897,2,0
1626917531897,1,91
1626917832618,2,0
1626917832618,1,90
1626918133679,2,0
1626918133679,1,89
1626918374367,2,0
1626918374367,1,88
1626918584981,2,0
1626918584981,1,87
1626918855680,2,0
1626918855680,1,86
1626919096629,2,0
1626919096629,1,85
1626919367329,2,0
1626919367329,1,84
1626919698471,2,0
1626919698471,1,83
1626919939030,2,0
1626919939030,1,82
1626920330187,2,0
1626920330187,1,81
1626920751364,2,0
1626920751364,1,80
1626921112401,2,0
1626921112401,1,79
1626921443403,2,0
1626921443403,1,78
1626921864563,2,0
1626921864563,1,77
1626922225618,2,0
1626922225618,1,76
1626922646792,2,0
1626922646792,1,75
1626923037877,2,0
1626923037877,1,74
1626923428962,2,0
1626923428962,1,73
1626923820109,2,0
1626923820109,1,72
1626924180914,2,0
1626924180914,1,71
1626924602325,2,0
1626924602325,1,70
1626925023450,2,0
1626925023450,1,69
1626925414575,2,0
1626925414575,1,68
1626925835755,2,0
1626925835755,1,67
1626926226857,2,0
1626926226857,1,66
1626926587898,2,0
1626926587898,1,65
1626926978991,2,0
1626926978991,1,64
1626927430169,2,0
1626927430169,1,63
1626927821312,2,0
1626927821312,1,62
1626928212448,2,0
1626928212448,1,61
1626928603534,2,0
1626928603534,1,60
1626929024682,2,0
1626929024682,1,59
1626929475885,2,0
1626929475885,1,58
1626929897305,2,0
1626929897305,1,57
1626930228034,2,0
1626930228034,1,56
1626930529096,2,0
1626930529096,1,55
1626930829855,2,0
1626930829855,1,54
1626931130901,2,0
1626931130901,1,53
1626931371571,2,0
1626931371571,1,52
1626931998278,2,0
1626931998278,1,51
1626936351192,2,0
1626936351192,1,50
1626942803010,2,0
1626942803010,1,49
1626948997705,2,0
1626948997705,1,48
1626955844990,2,0
1626955844990,1,47
1626961673930,2,0
1626961673930,1,46
1626967961693,2,0
1626967961693,1,45
1626974948204,2,0
1626974948204,1,44
1626978039360,2,0
1626978039360,1,43
1626978460553,2,0
1626978460553,1,42
1626980811030,2,1
1626980811030,1,42
1626980811083,2,1
1626980811083,1,41
1626980817099,2,2
1626980817099,1,41
1626980823152,2,0
1626980823152,1,41
1626980825462,2,1
1626980825462,1,41
1626980831815,2,2
1626980831815,1,41
1626980841860,2,2
1626980841860,1,42
1626980911351,2,0
1626980911351,1,42
1626980997703,2,1
1626980997703,1,42
1626981003957,2,2
1626981003957,1,42
1626981034097,2,2
1626981034097,1,43
1626981048115,2,0
1626981048115,1,43
1626981057068,2,1
1626981057068,1,43
1626981063493,2,2
1626981063493,1,43
1626981116807,2,0
1626981116807,1,43
1626981124855,2,1
1626981124855,1,43
1626981131341,2,2
1626981131341,1,44
1626981142973,2,0
1626981142973,1,44
1626981145713,2,1
1626981145713,1,44
1626981151812,2,2
1626981151812,1,44
1626981222395,2,2
1626981222395,1,45
1626981312791,2,2
1626981312791,1,46
1626981314937,2,0
1626981314937,1,46
1626981323268,2,1
1626981323268,1,46
1626981329736,2,2
1626981329736,1,46
1626981400315,2,2
1626981400315,1,47
1626981490673,2,2
1626981490673,1,48
1626981571305,2,2
1626981571305,1,49
1626981661689,2,2
1626981661689,1,50
1626981772400,2,2
1626981772400,1,51
1626981882911,2,2
1626981882911,1,52
1626981973621,2,2
1626981973621,1,53
1626982054027,2,2
1626982054027,1,54
1626982134714,2,2
1626982134714,1,55
1626982215080,2,2
1626982215080,1,56
1626982305811,2,2
1626982305811,1,57
1626982396253,2,2
1626982396253,1,58
1626982486980,2,2
1626982486980,1,59
1626982567369,2,2
1626982567369,1,60
1626982658077,2,2
1626982658077,1,61
1626982748518,2,2
1626982748518,1,62
1626982839227,2,2
1626982839227,1,63
1626982919606,2,2
1626982919606,1,64
1626983010260,2,2
1626983010260,1,65
1626983100618,2,2
1626983100618,1,66
1626983181228,2,2
1626983181228,1,67
1626983271586,2,2
1626983271586,1,68
