app_id,audience_id,filter_id,property_name,data,session_scoped
com.google.android.googlequicksearchbox,8,0,stream_id,b'\x08\x00\x12\tstream_id\x1a\x10\n\x0e\x08\x05\x12\n1049492678',
com.google.android.googlequicksearchbox,9,0,stream_id,b'\x08\x00\x12\tstream_id\x1a\x10\n\x0e\x08\x05\x12\n1049492678',
com.google.android.googlequicksearchbox,10,0,stream_id,b'\x08\x00\x12\tstream_id\x1a\x10\n\x0e\x08\x05\x12\n1049492678',
com.google.android.googlequicksearchbox,12,0,_fot,b'\x08\x00\x12\x04_fot\x1a\x18\x12\x14\x08\x01\x1a\x101538352000000000\x18\x01',
com.google.android.googlequicksearchbox,21,0,first_open_cross_network_source,b'\x08\x00\x12\x1ffirst_open_cross_network_source\x1a\x11\n\x0f\x08\x04\x12\x0b_20190205_0 \x01',
com.google.android.googlequicksearchbox,20,0,first_open_cross_network_source,b'\x08\x00\x12\x1ffirst_open_cross_network_source\x1a\x15\n\x13\x08\x04\x12\x0fUS_20190125_HA2 \x01',
com.google.android.googlequicksearchbox,26,0,user_default_language,b'\x08\x00\x12\x15user_default_language\x1a\x0b\n\t\x08\x04\x12\x05hi-in \x01',
com.google.android.googlequicksearchbox,29,0,country_id,b'\x08\x00\x12\ncountry_id\x1a\x08\n\x06\x08\x04\x12\x02us \x01',
com.venmo,2,0,os_version,b'\x08\x00\x12\nos_version\x1a\x07\x12\x05\x08\x02\x1a\x015',
com.venmo,6,0,platform,b'\x08\x00\x12\x08platform\x1a\r\n\x0b\x08\x04\x12\x07android \x01',
com.venmo,6,1,mobile_model_name,b'\x08\x01\x12\x11mobile_model_name\x1a\x08\n\x06\x08\x04\x12\x02SM \x01',
com.venmo,7,0,app_tracking_app_version,b'\x08\x00\x12\x18app_tracking_app_version\x1a\x0c\n\n\x08\x04\x12\x067.40.0 \x01',
com.venmo,7,1,app_tracking_app_version,b'\x08\x01\x12\x18app_tracking_app_version\x1a\x0c\n\n\x08\x04\x12\x067.40.1 \x01',
com.venmo,11,0,platform,b'\x08\x00\x12\x08platform\x1a\r\n\x0b\x08\x04\x12\x07Android \x01',
com.venmo,12,0,mobile_model_name,"b'\x08\x00\x12\x11mobile_model_name\x1a)\n%\x08\x01\x12!^iPhone\\s([3-4][GS]{0,3}|[5]{1})$\x18\x00 \x01'",
com.google.android.apps.photos,2,1,country_id,b'\x08\x01\x12\ncountry_id\x1a\x08\n\x06\x08\x04\x12\x02US \x01',
com.google.android.apps.photos,3,1,country_id,b'\x08\x01\x12\ncountry_id\x1a\x08\n\x06\x08\x04\x12\x02US \x01',
com.google.android.apps.photos,4,1,country_id,b'\x08\x01\x12\ncountry_id\x1a\x08\n\x06\x08\x04\x12\x02US \x01',
com.google.android.apps.photos,5,0,country_id,b'\x08\x00\x12\ncountry_id\x1a\n\n\x06\x08\x05\x12\x02BR\x18\x00 \x01',
com.google.android.apps.tachyon,36,0,first_open_cross_network_source,b'\x08\x00\x12\x1ffirst_open_cross_network_source\x1a\x0c\n\n\x08\x04\x12\x06google \x00',
com.tmobile.tuesdays,17,0,PushPrimeGroup,b'\x08\x00\x12\x0ePushPrimeGroup\x1a\x0e\n\x0c\x08\x04\x12\x08Bucket c \x01',
com.tmobile.tuesdays,16,0,PushPrimeGroup,b'\x08\x00\x12\x0ePushPrimeGroup\x1a\x0e\n\x0c\x08\x04\x12\x08Bucket B \x01',
com.tmobile.tuesdays,15,0,PushPrimeGroup,b'\x08\x00\x12\x0ePushPrimeGroup\x1a\x0e\n\x0c\x08\x04\x12\x08Bucket A \x01',
com.tmobile.tuesdays,19,0,_fot,b'\x08\x00\x12\x04_fot\x1a\x16\n\x14\x08\x04\x12\x101572566400000000 \x01',
com.tmobile.tuesdays,19,1,platform,b'\x08\x01\x12\x08platform\x1a\x0b\n\x07\x08\x05\x12\x03ios\x18\x00 \x01',
com.tmobile.tuesdays,18,0,_fot,b'\x08\x00\x12\x04_fot\x1a\x06\n\x04\x08\x04\x12\x00 \x01',
com.tmobile.tuesdays,18,1,platform,b'\x08\x01\x12\x08platform\x1a\x0b\n\x07\x08\x05\x12\x03ios\x18\x00 \x01',
com.tmobile.tuesdays,23,0,PushNotificationStatus,b'\x08\x00\x12\x16PushNotificationStatus\x1a\x15\n\x11\x08\x05\x12\rNotDetermined\x18\x00 \x01',
com.tmobile.tuesdays,23,1,PushNotificationStatus,b'\x08\x01\x12\x16PushNotificationStatus\x1a\x14\n\x10\x08\x05\x12\x0cPushDisabled\x18\x00 \x01',
com.tmobile.tuesdays,23,2,app_tracking_app_version,b'\x08\x02\x12\x18app_tracking_app_version\x1a\r\n\t\x08\x05\x12\x055.9.0\x18\x00 \x01',
com.tmobile.tuesdays,24,0,deviceCarrier,b'\x08\x00\x12\rdeviceCarrier\x1a\x0c\n\n\x08\x04\x12\x06sprint \x01',
com.tmobile.tuesdays,26,0,msisdn_carrier,b'\x08\x00\x12\x0emsisdn_carrier\x1a\x0c\n\n\x08\x04\x12\x06Sprint \x01',
com.tmobile.tuesdays,26,1,msisdnCarrier,b'\x08\x01\x12\rmsisdnCarrier\x1a\x0c\n\n\x08\x04\x12\x06Sprint \x01',
com.tmobile.tuesdays,29,0,device_carrier,b'\x08\x00\x12\x0edevice_carrier\x1a\x10\n\x0c\x08\x05\x12\x08T-Mobile\x18\x00 \x01',
com.tmobile.tuesdays,29,1,device_carrier,b'\x08\x01\x12\x0edevice_carrier\x1a\x10\n\x0c\x08\x05\x12\x08t-mobile\x18\x00 \x01',
com.tmobile.tuesdays,27,0,device_carrier,b'\x08\x00\x12\x0edevice_carrier\x1a\x15\n\x11\x08\x01\x12\rsprint|Sprint\x18\x00 \x01',
com.tmobile.tuesdays,28,0,msisdn_carrier,b'\x08\x00\x12\x0emsisdn_carrier\x1a\x12\n\x0e\x08\x04\x12\x08T-Mobile\x18\x00\x18\x00 \x01',
com.tmobile.tuesdays,28,1,msisdnCarrier,b'\x08\x01\x12\rmsisdnCarrier\x1a\x12\n\x0e\x08\x04\x12\x08t-mobile\x18\x00\x18\x00 \x01',
com.tmobile.tuesdays,30,0,device_carrier,b'\x08\x00\x12\x0edevice_carrier\x1a\x0c\n\n\x08\x04\x12\x06sprint \x01',
com.tmobile.tuesdays,31,0,device_carrier,b'\x08\x00\x12\x0edevice_carrier\x1a\x12\n\x0e\x08\x05\x12\x08T-Mobile\x18\x00\x18\x00 \x01',
com.app.tgtg,4,0,Tracked_In_Amplitude,b'\x08\x00\x12\x14Tracked_In_Amplitude\x1a\x0b\n\t\x08\x04\x12\x05false \x01',
com.app.tgtg,3,0,Tracked_In_Amplitude,b'\x08\x00\x12\x14Tracked_In_Amplitude\x1a\n\n\x08\x08\x04\x12\x04true \x01',
com.app.tgtg,5,0,country_id,b'\x08\x00\x12\ncountry_id\x1a\x08\n\x06\x08\x04\x12\x02DK \x00',
