_ID,BOOKMARK_ID,URL,SURL,TITLE,FAVICON,FOLDER,PARENT,INSERT_AFTER,POSITION,CHILDREN_COUNT,TAGS,SOURCEID,DELETED,CREATED,MODIFIED,DIRTY,ACCOUNT_NAME,ACCOUNT_TYPE,DEVICE_ID,DEVICE_NAME,SYNC1,SYNC2,SYNC3,SYNC4,SYNC5,IS_COMMITED,bookmark,bookmark_type,EDITABLE,type,keyword,description,guid,TOUCH_ICON,DOMINANT_COLOR
-3,0,,,Bookmarks,,1,-2,0,-10,0,,,0,0,0,0,,,,,,,,,,0,1,0,1,1,,,,,0
0,0,,,Samsung account,,1,-3,0,-10001,0,,,0,0,0,0,,,,,,,,,,0,1,2,0,1,,,,,0
1,0,http://www.google.com/m?client=ms-android-samsung-rev2&source=android-home,http://www.google.com/m?client=ms-android-samsung-rev2&source=android-home,Google,,0,0,0,-100,0,,,0,0,0,0,,,,,,,,,,0,1,1,1,1,,,,,0
2,0,https://www.samsung.com/us/mobile/phones/all-phones/?cid=us_owned_app_s-internet_none_none_bookmark_bookmark_202008_none,https://www.samsung.com/us/mobile/phones/all-phones/?cid=us_owned_app_s-internet_none_none_bookmark_bookmark_202008_none,Galaxy Shop,,0,0,0,-99,0,,,0,0,0,0,,,,,,,,,,0,1,1,1,1,,,,,0
