_id,_data,_size,format,parent,date_added,date_modified,mime_type,title,description,_display_name,picasa_id,orientation,latitude,longitude,datetaken,mini_thumb_magic,bucket_id,bucket_display_name,isprivate,title_key,artist_id,album_id,composer,track,year,is_ringtone,is_music,is_alarm,is_notification,is_podcast,album_artist,duration,bookmark,artist,album,resolution,tags,category,language,mini_thumb_data,name,media_type,old_id,is_drm,width,height,title_resource_uri,owner_package_name,color_standard,color_transfer,color_range,_hash,is_pending,is_download,download_uri,referer_uri,is_audiobook,date_expires,is_trashed,group_id,primary_directory,secondary_directory,document_id,instance_id,original_document_id,relative_path,volume_name,artist_key,album_key,genre,genre_key,genre_id,author,bitrate,capture_framerate,cd_track_number,compilation,disc_number,is_favorite,num_tracks,writer,exposure_time,f_number,iso,scene_capture_type,generation_added,generation_modified,xmp,_transcode_status,_video_codec_type,_modifier
142,/system/media/audio/notifications/Transmitter.ogg,16685.0,47360,129,1617476966.0,1621324190,audio/ogg,Transmitter,,Transmitter.ogg,,,,,,,-1608219629,notifications,,504c2a444e423a5050324c,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,956.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
143,/system/media/audio/notifications/Spaceline.ogg,27128.0,47360,129,1617476966.0,1621324190,audio/ogg,Spaceline,,Spaceline.ogg,,,,,,,-1608219629,notifications,,4e482a2e32403a4432,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,2294.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
144,/system/media/audio/notifications/Milky_Way.ogg,23154.0,47360,129,1617476966.0,1621324190,audio/ogg,Milky Way,,Milky_Way.ogg,,,,,,,-1608219629,notifications,,423a403e5a04562a5a,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,1491.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
145,/system/media/audio/notifications/Beep_Once.ogg,28825.0,47360,129,1617476966.0,1621324190,audio/ogg,Beep Once,,Beep_Once.ogg,,,,,,,-1608219629,notifications,,2c3232480446442e32,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,2000.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
146,/system/media/audio/notifications/Luna.ogg,65593.0,47360,129,1617476966.0,1621324190,audio/ogg,Luna,,Luna.ogg,,,,,,,-1608219629,notifications,,4052442a,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,1833.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,350000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
147,/system/media/audio/notifications/Prism.ogg,9817.0,47360,129,1617476966.0,1621324190,audio/ogg,Prism,,Prism.ogg,,,,,,,-1608219629,notifications,,484c3a4e42,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,417.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
148,/system/media/audio/notifications/Voyager.ogg,14911.0,47360,129,1617476966.0,1621324190,audio/ogg,Voyager,,Voyager.ogg,,,,,,,-1608219629,notifications,,54465a2a36324c,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,864.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
149,/system/media/audio/notifications/Meteor.ogg,19769.0,47360,129,1617476966.0,1621324190,audio/ogg,Meteor,,Meteor.ogg,,,,,,,-1608219629,notifications,,42325032464c,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,1000.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
150,/system/media/audio/notifications/Chaos.ogg,10379.0,47360,129,1617476966.0,1621324190,audio/ogg,Chaos,,Chaos.ogg,,,,,,,-1608219629,notifications,,2e382a464e,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,495.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
151,/system/media/audio/notifications/Signal.ogg,17158.0,47360,129,1617476966.0,1621324190,audio/ogg,Signal,,Signal.ogg,,,,,,,-1608219629,notifications,,4e3a36442a40,5.487117102478502e+18,5.074773307862498e+18,,,,0.0,0.0,0.0,1.0,0.0,,1033.0,,Samsung,Samsung,,,,,,,2.0,,0.0,,,,,,,,,0,0,,,0,,0,,,,,,,,internal,4e2a424e524436,4e2a424e524436,Alert Tone,2a40324c500450464432,3.608026962637856e+18,,128000.0,,,,,0,1.0,,,,,,7,592,b'',0,,3
