nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,1081
2,1,1,3,2,0,0,1081
3,1,2,14,0,0,0,1081
4,1,2,3,2,0,0,1081
5,1,3,17,0,0,0,1081
6,2,0,0,0,0,0,1081
7,1,5,2,1,0,0,1081
7,2,0,0,0,-21,0,2057
8,1,5,0,2,0,0,1081
9,1,6,3,1,0,0,1081
10,1,8,15,0,0,0,1081
11,1,9,1,2,0,0,1081
12,1,10,2,2,0,0,1081
13,1,10,31,0,0,0,1081
14,1,11,11,0,0,0,1081
15,1,11,4,5,0,0,1081
16,1,11,4,5,1,0,1081
17,1,12,24,0,0,0,1081
18,1,12,25,0,0,0,1081
19,1,12,31,0,0,0,1081
20,1,4,1,0,0,0,1081
21,1,5,5,0,0,0,1081
24,1,11,1,2,1,0,1081
25,1,6,14,0,0,0,1081
26,1,2,2,0,0,0,1081
27,1,5,29,0,0,0,1081
28,1,2,12,0,0,0,1081
29,1,9,11,0,0,0,1081
30,1,4,15,0,0,24,1081
31,1,4,16,0,0,1,1081
32,1,4,22,0,0,0,1081
33,1,12,26,0,0,0,1081
34,1,3,0,1,0,0,1081
35,1,10,0,1,0,0,1081
36,1,5,1,2,0,0,1081
37,2,0,0,0,1,0,1081
38,1,4,21,0,0,0,1081
39,2,0,0,0,-2,0,1081
40,1,11,5,0,0,0,1081
41,1,8,0,2,0,0,1081
42,2,0,0,0,-21,0,1081
43,1,1,2,0,0,0,1081
44,1,11,11,0,0,0,1081
45,2,0,0,0,-47,0,1081
46,1,5,0,2,0,0,1081
47,1,12,1,0,0,0,1081
48,1,3,1,0,0,0,1081
49,1,4,23,0,0,0,1081
50,1,8,1,2,0,0,1081
51,1,12,26,0,0,32,1081
51,1,12,26,0,6,64,1081
52,1,11,0,5,3,32,1081
52,1,12,24,0,0,64,1081
53,1,1,13,0,0,0,1081
54,1,1,14,0,0,0,1081
55,1,1,14,0,0,0,1081
56,1,1,19,0,0,0,1081
57,1,1,23,0,0,0,1081
58,1,1,26,0,0,0,1081
59,1,3,19,0,0,0,1081
60,1,4,14,0,0,0,1081
61,1,10,2,0,0,0,1081
62,1,11,14,0,0,0,1081
201,1,11,4,6,0,0,1081
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
