_id,dedup_key,utc_timestamp,timezone_offset,capture_timestamp,month_random_timestamp,type,is_deleted,is_vr,has_local,is_hidden,composition_type,partial_backup_downloaded,oem_special_type,is_archived,is_favorite,in_camera_folder,in_primary_storage,overlay_type,min_upload_utc_timestamp,date_header_utc_timestamp,trash_timestamp,location_type,canonical_media_key,canonical_content_version
72,W-fTvhj3sOfzIEAPZzUxb5gL0g0,1618482472000,-14400000,1618468072000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,2,,
73,7GYLSIaj8mGEL1q4qyH8THleXUk,1618482457000,-14400000,1618468057000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,2,,
74,vfYz0Kx_pEQ271eVWDTmE0lhRu4,1618199764000,-14400000,1618185364000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,2,,
75,ZSW9fiI03LmUT4iBv5vQbLzvx6Q,1617778317000,-14400000,1617763917000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,1,,
76,QnPcKlEV5JJyMckmfccjaAnaL2k,1617594732000,-14400000,1617580332000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
78,FMbtSC2Qns8TYgqmlVVJLAWufjQ,1617591833000,-14400000,1617577433000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
79,RLi6RPovURnZQgrTaGvwHZcbZRA,1617591832000,-14400000,1617577432000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
80,-J-oGFtMtK9Oh-7Hop0vCw49b84,1617591820000,-14400000,1617577420000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
81,RRf53DJAyzNoQdqvm6AluU7ObVw,1617591817000,-14400000,1617577417000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
82,PZzKGW3UneDluTkCpjS8c6DsPKo,1617591813000,-14400000,1617577413000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
83,4ZQ7u9b1GVehy3XaTjXdp9eGCv4,1617591805000,-14400000,1617577405000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
84,K5i2XeJm5yu4piNhZ9Uw4svzGeU,1617477227000,-14400000,1617462827000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
85,GUjuAF0KdYlbBuhmGRoObCmPHls,1617477223000,-14400000,1617462823000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
100,faV5XAk8Vuxiswm1m7Y7XqzNG1s,1621123440000,-14400000,1621109040000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
101,l2PP0RvlJWK_3J7MBeEnxTcDqnw,1621123436000,-14400000,1621109036000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
102,Bnqqly0HJoJXO9XoqZbMI0XqNeQ,1621123433000,-14400000,1621109033000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
103,cdpk7u4jV7FQ2VMbegnv-KKMPDg,1621123431000,-14400000,1621109031000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
108,L30bTmHiO52IzBfGNIxZk9GNsyw,1621124012000,-14400000,1621109612000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
110,RXH3PCDg-K1FcnYjH__NXBxvG_k,1621136701000,-14400000,1621122301000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
112,USgBTUUbT7RoPpMPQOCW6X161dE,1621471970000,-14400000,1621457570000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
113,j7xjb6WcVnD0NgZiH-3blNaDfqU,1621471937000,-14400000,1621457537000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
114,xTSYRpIfAWoWqb7U2Qoo0nPECh8,1621471933000,-14400000,1621457533000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
115,M0CYfO8Daa_99rPkYODV30t0C1Y,1621471930000,-14400000,1621457530000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
116,5f6l0oMTzFQiRaMOkM1N5avI2gs,1621471925000,-14400000,1621457525000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
122,ipf06_3u1A1JUbaimX87I-_Qh9Q,1621471990000,-14400000,1621457590000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
123,WGCFSbf5v7CmHBulXzv2z-OcTZ0,1621471985000,-14400000,1621457585000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
180,nPVzksG9AgXQh92H6_Jpbozm05E,1623028869000,-14400000,1623014469000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
181,x7qZfV1EUM2wfUrt4r6rvJb40iY,1623028867000,-14400000,1623014467000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
182,c9Z3LI47xvAhrO6mLpJmI9DxgK8,1623028855000,-14400000,1623014455000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
183,XgLaou46DriNskmVpLTQ3cKjC7U,1623028845000,-14400000,1623014445000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
184,utZ2UXqRGcGje5MlH1oU4qFbkCA,1623028841000,-14400000,1623014441000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
185,Tb4sTfc18Dfltjd2n2ClXSjCKLs,1623027089000,-14400000,1623012689000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
186,U-2z8C88kAAItAMzkIkHF54It5Q,1623027029000,-14400000,1623012629000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
187,9on3yhyDwMPpmo4mwECKPsKKWSM,1623027024000,-14400000,1623012624000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
189,Ep2DpvuCxukntsNmC58cCtJqRpc,1623027003000,-14400000,1623012603000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
190,NvRn5w1EVxqqEya5lPRdzKpbyjE,1623027000000,-14400000,1623012600000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
191,X-03DmWcOEsNEooeI7XoRzmmXCA,1623019173000,-14400000,1623004773000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
193,pOf4gKMhUS8K_XS939exm76pCUA,1623016361000,-14400000,1623001961000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
194,AQU_0IoOpxKVWvTyn-XUtnteIQE,1623016358000,-14400000,1623001958000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
195,vvAAivgxcQ34U7pf3AIoSYpo4RA,1623016356000,-14400000,1623001956000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
196,XdtFWHfLqDv0_kpwtQB7P7fRFi8,1623016331000,-14400000,1623001931000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
197,fkjVu8ARRd6J8pl16u5U2VlyxqI,1623016329000,-14400000,1623001929000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
216,z-LpB6NNENGTCmFDzS5S_xK3XnY,1623688578000,-14400000,1623674178000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
218,CJNOZ3IpgJn5OP3F-e6o4MEmiB8,1623778998000,-14400000,1623764598000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
220,tNM5qpq5vGvyTJHFK6rVWpgG8NE,1623991410000,-14400000,1623977010000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,2,,
221,DW_OHf7frtaTv1KtnyU-s3yA1xI,1623991378000,-14400000,1623976978000,0,1,0,0,1,0,,0,,0,0,1,1,100,0,,,2,,
224,pDFSDrpPLcjeKk6AQXNNkZ9-iY0,1625205230000,-14400000,1625190830000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,1,,
226,8tPRd3SBeQgO5CkSal_hrLypekE,1625357085000,-14400000,1625342685000,0,1,0,100,1,0,,0,,0,0,1,1,1300,0,,,2,,
227,iqgrUrpOmpuzgiZiLELKknb3odA,1625357080000,-14400000,1625342680000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
228,8_eH2F926_F3I__PqsWC_BZPTvA,1625357078000,-14400000,1625342678000,0,1,0,0,1,0,,0,,0,0,1,1,1400,0,,,2,,
