_id,SamsungAppsMode,LatestMCC,AndromedaMCC,CountryURL,DisclaimerSkip,DisclaimerVersion,TwoGLimitSize,TwofiveGLimitSize,ThreeGLimitSize,FourGLimitSize,WifiLimitSize,FakeCSCCheck,userID,skipSignIn,NotiPopup,emailID,reserved,Encryption,CHubUrl,CIsStaging,CStagingImgHostUrl,CStagingAppHostUrl,CStagingDataHostUrl,CImgFolder,CAppFolder,CDataFolder,CTempFolder,CFakeImei,CFakeMcc,CFakeMnc,CFakeModel,CFakeCsc,CFakeOdcVer,CFakeOpenApiVer,CFakeHeaderHost,CLastCountryFreeStore,CHeaderInfinityVersion,CLastBannerProductId,CLastBannerImgUrl,CLastBannerType,CLastMcc,CLastMnc,CLastCsc,CDisclaimerVer,CAutoLogin,CUncMode,CProxyAddress,CCacheSize,CFreeDataUrl,CUncDataUrl,CDebugMode,CCurrencyUnitPrecedes,CLastCountryCode,CCurrencyUnitHasPenny,CLicenseUrl,CPlatformKey,CTransferConfig,CFreeTabPrecedes,CSnsCapaMask,CCurrencyUnitDivision,CSamsungNotiShow,CPsmsTestMode,CNotificationPopupShowSet,CConfigId,PhoneNumber,NetworkOperator,Birthday,Info,push_service_onoff,SecureTime,push_service_reg_id,una_setting,FlexibleTabShow,FlexibleTabName,ProtocolCachingTime,IranShetabCardUrl,PushNotiRegistrationSuccess,CLastModel,ServerLoadLevel,Option_12,Option_13,Option_14,Option_15,Option_16,Option_17,Option_18,Option_19,Option_20,Option_21,Option_22,Option_23,Option_24,Option_25,Option_26,Option_27,Option_28,Option_29,Option_30,Option_31,Option_32
0,,,,http://us-odc.samsungapps.com/ods.as,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,310,260,TMB,,,,,,,,,1,USA,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
