_id,key,seenMajorUpdateMajorVersion,seenMajorUpdateMinorVersion,seenScoreSharingAlert,acceptedContentAlert,acceptedLeaderboardAlert,hasOpenedApp,acceptedLeaderboardGameAlert
1,6a2cc5b3-3d6f-4845-b745-1c5f802fd59e,,,0,0,0,0,0
2,e5c7c3bd-06a0-47c1-be04-d86c6fc35386,,,0,0,0,0,0
3,2dc73007-5642-424c-9c29-af550377510b,,,0,0,0,0,0
4,090e2f4d-dc4c-473c-b961-9d3559a5a444,,,0,0,0,0,0
5,ceb49f5e-d7b2-4c7b-ab94-ae69d4c2779a,,,0,0,0,0,0
6,4606e9ed-a232-4015-80be-be7a90a77a34,,,0,0,0,0,0
7,a4cbdb1c-f680-4ff2-a33a-c380196b83d6,,,0,0,0,0,0
8,ef224247-447d-4233-8e92-83a7b7b6557e,,,0,0,0,0,0
9,ef2cb0a1-0b51-41e2-8046-3a3ee49f7194,,,0,0,0,0,0
10,e700e7e1-b2d7-47ec-87a5-7d6ef945b110,,,0,0,0,0,0
11,9f1b74c7-2f4a-46f0-967d-ec27a2df50a2,,,0,0,0,0,0
12,f192abf7-7785-4164-b32e-0e704ab51a5a,,,0,0,0,0,0
13,ded5eb36-1978-4686-adef-41a198087ada,,,0,0,0,0,0
14,6258bb46-35c2-4091-8a42-2d69a53fd2d6,,,0,0,0,0,0
15,014133eb-17ef-4089-a364-9a8a042ab038,,,0,0,0,0,0
16,9d6c4bc3-5d01-44cf-bc54-26aea6f57bb2,,,0,0,0,0,0
17,a0e69b4a-18db-44c1-b49f-fb78bd877754,,,0,0,0,0,0
18,c48692bc-5b38-4546-ae48-fdca3828f464,,,0,0,0,0,0
19,77ecc61a-3d73-47a1-a4b2-f02ebdd72c16,,,0,0,0,0,0
20,fccf855e-a11d-4a79-b1ad-2a00199b27b9,,,0,0,0,0,0
21,cc3d0401-bc76-4c58-bdd6-d52d3b48dad4,,,0,0,0,0,0
22,c718a395-5906-4cc3-aa2d-cc05c94cc70c,,,0,0,0,0,0
23,77a75158-a2aa-4bbf-839b-739807df6e95,,,0,0,0,0,0
24,971e25cc-3839-4702-83b8-1fab6b4ce421,,,0,0,0,0,0
25,79aee42b-7cca-4882-b94d-9e2277be3d7f,,,0,0,0,0,0
26,29d1b781-877e-4087-bfc5-6ce0ed10f89a,,,0,0,0,0,0
27,09db0dcc-7baa-44fd-b114-f16be0126e49,,,0,0,0,0,0
28,9370d3d0-51e0-4186-9ef2-d77889f4a703,,,0,0,0,0,0
29,81ec3ce9-8d8a-4809-b302-5667af452ce8,,,0,0,0,0,0
30,ae068769-d12d-4bfa-8881-df03fa45970c,,,0,0,0,0,0
31,1280c8ae-fafa-4b62-a04d-6bc46a4c86b6,,,0,0,0,0,0
32,7fb13069-4071-4200-bf8a-cb5f6730044e,,,0,0,0,0,0
33,ca46709e-45d0-47c8-9dce-6c15bf7dc604,,,0,0,0,0,0
34,df255c59-e0d2-4efe-b8b4-74889499043d,,,0,0,0,0,0
35,cd572b41-0b41-441e-a031-a50470c9c206,,,0,0,0,0,0
36,003ea873-7644-4725-b1d8-c2ae863102d6,,,0,0,0,0,0
37,ab089bfc-6074-4fad-a900-9c4a6012e44a,,,0,0,0,0,0
38,ed374936-7ad4-4ee8-a42f-1a59a59b13d0,,,0,0,0,0,0
39,00c54e15-799b-4305-b9a8-e77637249724,,,0,0,0,0,0
40,04f15cae-a570-4ed3-8d50-311b77f794db,,,0,0,0,0,0
41,b62bec5d-df4a-4bb7-8fca-c949090d5cec,,,0,0,0,0,0
42,68b68cc1-ecf8-4083-83dd-dc161402793b,,,0,0,0,0,0
43,32a7d905-0416-41f7-a348-673b314d7f39,,,0,0,0,0,0
44,5e54ccc9-1c50-4b51-aa90-ce10e7919c26,,,0,0,0,0,0
45,29ca9d01-2e7f-4f6a-b16a-8de352842903,,,0,0,0,0,0
46,1e4582cb-826e-44e1-8988-af28b379d74d,,,0,0,0,0,0
