corpus,client_id,server_id,timestamp,feature_fprint,latitude_e6,longitude_e6,numerical_index,string_index,sync_state,item_proto
13,1626889225408_86552835059480,,0,,0,0,,1626889225408_86552835059480,0,"b'\nF\n\x08\x10\x02\x1a\x02\x08\x01 \x01\x10\x01\x1a\x04\x08\x01\x10\x01""\x1b\n\x00\x12\x00\x1a\x15115829802936701284672*\x0fFavorite places2\x00R\x00h\x00\x12\x02\x08\x00'"
13,1626889225408_86552835085834,,0,,0,0,,1626889225408_86552835085834,0,"b'\nF\n\x08\x10\x04\x1a\x02\x08\x01 \x08\x10\x01\x1a\x04\x08\x01\x10\x01""\x1b\n\x00\x12\x00\x1a\x15115829802936701284672*\x0fFollowed places2\x00R\x00h\x00\x12\x02\x08\x00'"
13,1626889225408_86552835090053,,0,,0,0,,1626889225408_86552835090053,0,"b'\nE\n\x0c\x10\x03\x1a\x02\x08\x01\x1a\x02\x08\t \x01\x10\x01\x1a\x04\x08\x01\x10\x01""\x1b\n\x00\x12\x00\x1a\x15115829802936701284672*\nWant to go2\x00R\x00h\x00\x12\x02\x08\x00'"
13,1626889225408_86552835092865,,0,,0,0,,1626889225408_86552835092865,0,"b'\n=\n\x08\x10\x02\x1a\x02\x08\x0e \x01\x10\x01\x1a\x04\x08\x01\x10\x01""\x1b\n\x00\x12\x00\x1a\x15115829802936701284672*\x06Offers2\x00R\x00h\x00\x12\x02\x08\x00'"
6,User Parameters,User Parameters,0,,0,0,,,0,b'\x08\x01\x12$\n\n\x08\x01\x10\x01\x1a\x04\x08\x01\x10\x01\x10\x01\x1a\n\x08\x01\x10\x01\x1a\x04\x08\x01\x10\x01 \x00(\x010\x008\x00@\x01'
