facet_id,id
android://wctWuKakwAKDfVz8mX57MZAbZVXmfVwlkN8yHs6TuGuEfxswKtHq5qxOWI0RPBi55t1j2td7DaRC_cF8R3qlUQ==@com.waze/,android://wctWuKakwAKDfVz8mX57MZAbZVXmfVwlkN8yHs6TuGuEfxswKtHq5qxOWI0RPBi55t1j2td7DaRC_cF8R3qlUQ==@com.waze/
android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.wakizashi/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
android://zQxb6hXv1MJiC1Yyotdhi8HP-y7fwPcOLwPOWTwWKpP2VXcbsuIiI4iJ1KV0Dz3LzVsUuKJmYCBIUAxnsPB9FA==@com.facebook.katana/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
android://zQxb6hXv1MJiC1Yyotdhi8HP-y7fwPcOLwPOWTwWKpP2VXcbsuIiI4iJ1KV0Dz3LzVsUuKJmYCBIUAxnsPB9FA==@com.facebook.lite/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
android://zQxb6hXv1MJiC1Yyotdhi8HP-y7fwPcOLwPOWTwWKpP2VXcbsuIiI4iJ1KV0Dz3LzVsUuKJmYCBIUAxnsPB9FA==@com.facebook.orca/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
android://zQxb6hXv1MJiC1Yyotdhi8HP-y7fwPcOLwPOWTwWKpP2VXcbsuIiI4iJ1KV0Dz3LzVsUuKJmYCBIUAxnsPB9FA==@com.facebook.wakizashi/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
https://free.facebook.com/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
https://m.facebook.com/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
https://mbasic.facebook.com/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
https://mobile.facebook.com/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
https://www.facebook.com/,android://kmwFUO2u567RIRuR_eBr5MxHSOYdjxr74L0S85SaDQmhz0MGxy5mYq5Me4rnpXOoHX5S5bYSRETq-PQT5rH6aQ==@com.facebook.katana/
