calendarType,holidayId,dayOrOrdinal,dayOfWeek,monthVal,yearVal,flags,offset,endHolidayId
6,55,5,0,5,2019,32,0,110
6,55,23,0,4,2020,32,0,110
6,55,12,0,4,2021,32,0,110
6,55,2,0,4,2022,32,0,110
6,55,22,0,3,2023,32,0,110
6,55,10,0,3,2024,32,0,110
6,55,28,0,2,2025,32,0,110
6,110,3,0,6,2019,64,0,0
6,110,23,0,5,2020,64,0,0
6,110,11,0,5,2021,64,0,0
6,110,1,0,5,2022,64,0,0
6,110,20,0,4,2023,64,0,0
6,110,8,0,4,2024,64,0,0
6,110,29,0,3,2025,64,0,0
