account_id,storage_id,keyed_proto_type,serialized_keyed_proto,timestamp
disabled,,3,b'\x08\x01 \x01',1617476965568
115829802936701284672,,11,b'',1626903624420
115829802936701284672,,3,b'\x08\x01 \x01(\x01',1626931536691
