client_conversation_id,client_message_id,server_message_id,download_status
b7390717-f803-5039-810f-6bc00a50370f,384,9,0
b7390717-f803-5039-810f-6bc00a50370f,391,16,0
b7390717-f803-5039-810f-6bc00a50370f,451,20,0
