id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers
4dd71261-a6b2-46a0-8dc6-6c03575333c0,2,com.samsung.knox.securefolder.common.handler.BroadcastWorker,androidx.work.OverwritingInputMerger,"b""\xac\xed\x00\x05w\x13\x00\x00\x00\x01\x00\rintent_actiont\x00'android.accounts.LOGIN_ACCOUNTS_CHANGED""",b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1625260802223,0,1625260802232,0,0,0,0,0,0,-1,-1,
b5bca63b-eab6-40f6-8300-095a56a8a4e9,2,com.samsung.knox.securefolder.common.handler.BroadcastWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x13\x00\x00\x00\x01\x00\rintent_actiont\x00$android.intent.action.BOOT_COMPLETED',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1625508503338,0,1625508503375,0,0,0,0,0,0,-1,-1,
548d84a5-33b0-4fa8-9d56-81bd2ac469ae,2,com.samsung.knox.securefolder.common.handler.BroadcastWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x13\x00\x00\x00\x01\x00\rintent_actiont\x00$android.intent.action.BOOT_COMPLETED',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1625809513142,0,1625809513168,0,0,0,0,0,0,-1,-1,
