row_id,items_row_id,clusters_row_id,view_type,rank,cluster_rank,write_sequence_id,do_not_show_before_timestamp_ms,do_not_show_after_timestamp_ms,nested_cluster_row_id,display_timestamp_ms,messages_in_view_bitmap
2918,133,,100,9223370415745875567,,412,,,,1621108900240,3
2919,133,,116,9223370415745875567,,412,,,,1621108900240,3
2920,133,,45,9223370415745875567,,412,,,,1621108900240,3
2921,133,,51,9223370415745875567,,412,,,,1621108900240,3
2922,133,,98,9223370415745875567,,412,,,,1621108900240,3
2923,133,,88,9223370415745875567,,412,,,,1621108900240,3
2924,133,8.0,62,9223370415745875567,9223370415745875567,412,,,,1621108900240,3
2925,133,,57,9223370415745875567,,412,,,,1621108900240,3
2926,133,,109,9223370415745875567,,412,,,,1621108900240,3
2927,133,,108,9223370415745875567,,412,,,,1621108900240,3
2928,133,,58,9223370415745875567,,412,,,,1621108900240,3
2929,133,,117,9223370415745875567,,412,,,,1621108900240,3
2930,133,,59,9223370415745875567,,412,,,,1621108900240,3
2931,133,8.0,2,9223370415745875567,,412,,,,1621108900240,3
2932,133,8.0,107,9223370415745875567,,412,,,,1621108900240,3
2933,133,1.0,2,9223370415745875567,,412,,,,1621108900240,3
2934,133,1.0,107,9223370415745875567,,412,,,,1621108900240,3
3119,127,,116,9223370415737094727,,419,,,,1621117681080,2
3120,127,,45,9223370415737094727,,419,,,,1621117681080,2
3121,127,,49,9223370415737094727,,419,,,,1621117681080,2
3122,127,,62,9223370415737094727,,419,,,,1621117681080,2
3123,127,,96,9223370415737094727,,419,,,,1621117681080,2
3124,127,,57,9223370415737094727,,419,,,,1621117681080,2
3125,127,,109,9223370415737094727,,419,,,,1621117681080,2
3126,127,,58,9223370415737094727,,419,,,,1621117681080,2
3127,127,,117,9223370415737094727,,419,,,,1621117681080,2
3128,127,,78,9223370415737094727,,419,,,,1621117681080,2
3129,127,1.0,2,9223370415737094727,,419,,,,1621117681080,2
3130,127,6.0,2,9223370415737094727,,419,,,,1621117681080,2
3191,144,,100,9223370415721363788,,429,,,,1621133412019,3
3192,144,,116,9223370415721363788,,429,,,,1621133412019,3
3193,144,,45,9223370415721363788,,429,,,,1621133412019,3
3194,144,,51,9223370415721363788,,429,,,,1621133412019,3
3195,144,,98,9223370415721363788,,429,,,,1621133412019,3
3196,144,,88,9223370415721363788,,429,,,,1621133412019,3
3197,144,8.0,62,9223370415721363788,9223370415721363788,429,,,,1621133412019,3
3198,144,,57,9223370415721363788,,429,,,,1621133412019,3
3199,144,,109,9223370415721363788,,429,,,,1621133412019,3
3200,144,,108,9223370415721363788,,429,,,,1621133412019,3
3201,144,,58,9223370415721363788,,429,,,,1621133412019,3
3202,144,,117,9223370415721363788,,429,,,,1621133412019,3
3203,144,,59,9223370415721363788,,429,,,,1621133412019,3
3204,144,8.0,2,9223370415721363788,,429,,,,1621133412019,3
3205,144,8.0,107,9223370415721363788,,429,,,,1621133412019,3
3206,144,1.0,2,9223370415721363788,,429,,,,1621133412019,3
3207,144,1.0,107,9223370415721363788,,429,,,,1621133412019,3
3208,145,,100,9223370415655075746,,431,,,,1621199700061,3
3209,145,,116,9223370415655075746,,431,,,,1621199700061,3
3210,145,,45,9223370415655075746,,431,,,,1621199700061,3
