path,name,acl,scope,format,type,depth,value,largeobjsize
.,.,Get=*&Add=*,1,node,,1,,0
./Inbox,Inbox,Add=*,1,node,urn:oma:mo:oma-dm-inbox:1.0,2,,0
./DevDetail,DevDetail,Get=*,1,node,,2,,0
./DevDetail/Ext,Ext,Get=*,1,node,,3,,0
./DevDetail/Bearer,Bearer,Get=*,1,node,,3,,0
./DevDetail/Bearer/GSM,GSM,Get=*,1,chr,,4,,0
./DevDetail/URI,URI,Get=*,1,node,,3,,0
./DevDetail/URI/MaxDepth,MaxDepth,Get=*,1,chr,text/plain,4,0,0
./DevDetail/URI/MaxTotLen,MaxTotLen,Get=*,1,chr,text/plain,4,0,0
./DevDetail/URI/MaxSegLen,MaxSegLen,Get=*,1,chr,text/plain,4,0,0
./DevDetail/DevTyp,DevTyp,Get=*,1,chr,text/plain,3,MobilePhone,0
./DevDetail/OEM,OEM,Get=*,1,chr,text/plain,3,,0
./DevDetail/FwV,FwV,Get=*,1,chr,text/plain,3,,0
./DevDetail/SwV,SwV,Get=*,1,chr,text/plain,3,1.0,0
./DevDetail/HwV,HwV,Get=*,1,chr,text/plain,3,1.0,0
./DevDetail/LrgObj,LrgObj,Get=*,1,bool,text/plain,3,false,0
./DevInfo,DevInfo,Get=*,1,node,,2,,0
./DevInfo/Ext,Ext,Get=*,1,node,,3,,0
./DevInfo/Ext/DevNetworkConnType,DevNetworkConnType,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/TelephonyMcc,TelephonyMcc,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/TelephonyMnc,TelephonyMnc,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/FotaClientVer,FotaClientVer,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/DMClientVer,DMClientVer,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/SIMCardMcc,SIMCardMcc,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/SIMCardMnc,SIMCardMnc,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/CorpId,CorpId,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/TargetVersion,TargetVersion,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/OmcCode,OmcCode,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/CountryISOCode,CountryISOCode,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/AidCode,AidCode,Get=*,1,chr,text/plain,4,,0
./DevInfo/Ext/IpPushRegistrationStatus,IpPushRegistrationStatus,Replace=*,2,chr,text/plain,4,,0
./DevInfo/Bearer,Bearer,Get=*,1,node,,3,,0
./DevInfo/Bearer/GSM,GSM,Get=*,1,chr,,4,,0
./DevInfo/DevId,DevId,Get=*,1,chr,text/plain,3,,0
./DevInfo/Man,Man,Get=*,1,chr,text/plain,3,samsung,0
./DevInfo/Mod,Mod,Get=*,1,chr,text/plain,3,,0
./DevInfo/DmV,DmV,Get=*,1,chr,text/plain,3,1.2,0
./DevInfo/Lang,Lang,Get=*,1,chr,text/plain,3,,0
./FUMO,FUMO,Get=*,1,node,urn:oma:mo:oma-fumo:1.0,2,,0
