RecordId,formal,alias
1,휴대폰,휴 대 폰
2,핸드폰,핸 드 폰
3,스마트폰,스 마 트 폰
4,폰,폰
5,단말기,단 말 기
6,Phone,p h o n e
7,phone,p h o n e
