package_name,package_signature_hash,managed_flags
com.facebook.katana,ijxLJi1yGs1JpL-X1SExmchvork,0
com.facebook.lite,ijxLJi1yGs1JpL-X1SExmchvork,0
com.instagram.android,xW-31ZG6ZwTfBH_Zj1NTcv6gAhE,0
com.facebook.orca,ijxLJi1yGs1JpL-X1SExmchvork,0
com.facebook.stub,ijxLJi1yGs1JpL-X1SExmchvork,1
com.facebook.pages.app,ijxLJi1yGs1JpL-X1SExmchvork,1
com.facebook.services,e6fv6XFRr-tXEDJmsSANhagF19Y,1
com.facebook.mlite,ijxLJi1yGs1JpL-X1SExmchvork,1
com.oculus.home,Sr9mhPKOEwo6NysnYn803dZ3UiY,0
com.oculus.horizon,Sr9mhPKOEwo6NysnYn803dZ3UiY,0
com.oculus.vrshell,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.vrshell.home,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.browser,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.mediaplayer,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.systemactivities,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.systemdriver,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.rooms,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.systemutilities,MxZgtt071YLz39PLrkVGckZooCE,0
com.oculus.ocms,Sr9mhPKOEwo6NysnYn803dZ3UiY,0
com.whatsapp,OKD31QX-GP7GT780Psqq8xDb15k,0
