start_time,end_time,uptime,cputime,process_name,uid,pid,process_usage
1626672087003,1626681101387,300612,2363250,system_server,1000,1100,39520
1626672087003,1626681101387,300612,2363250,android.system.suspend@1.0-service,1000,706,26610
1626672087003,1626681101387,300612,2363250,com.google.android.gms,10103,22132,10120
1626672087003,1626681101387,300612,2363250,ueventd,0,593,8710
1626672087003,1626681101387,300612,2363250,com.google.android.gms.persistent,10103,27268,5480
1626681101387,1626693819721,300226,2368100,android.system.suspend@1.0-service,1000,706,26090
1626681101387,1626693819721,300226,2368100,system_server,1000,1100,25670
1626681101387,1626693819721,300226,2368100,ueventd,0,593,8660
1626681101387,1626693819721,300226,2368100,com.sec.android.sdhms,1000,4296,4170
1626681101387,1626693819721,300226,2368100,com.google.android.gms,10103,22132,3330
1626693819721,1626703756713,300196,2363360,system_server,1000,1100,37270
1626693819721,1626703756713,300196,2363360,android.system.suspend@1.0-service,1000,706,26470
1626693819721,1626703756713,300196,2363360,ueventd,0,593,8930
1626693819721,1626703756713,300196,2363360,com.google.android.gms.persistent,10103,27268,5550
1626693819721,1626703756713,300196,2363360,com.sec.android.sdhms,1000,4296,3630
1626703756713,1626711865828,300204,2362020,system_server,1000,1100,31190
1626703756713,1626711865828,300204,2362020,android.system.suspend@1.0-service,1000,706,27110
1626703756713,1626711865828,300204,2362020,ueventd,0,593,9250
1626703756713,1626711865828,300204,2362020,vendor.samsung.hardware.biometrics.fingerprint@3.0-service,1000,1251,6330
1626703756713,1626711865828,300204,2362020,com.google.android.gms.persistent,10103,27268,6060
1626711865828,1626723385366,300165,2364180,system_server,1000,1100,33760
1626711865828,1626723385366,300165,2364180,android.system.suspend@1.0-service,1000,706,24140
1626711865828,1626723385366,300165,2364180,ueventd,0,593,8490
1626711865828,1626723385366,300165,2364180,com.google.android.gms.persistent,10103,27268,5580
1626711865828,1626723385366,300165,2364180,com.google.android.gms,10103,7441,4590
1626723385366,1626731152372,300189,2364400,system_server,1000,1100,54050
1626723385366,1626731152372,300189,2364400,android.system.suspend@1.0-service,1000,706,21510
1626723385366,1626731152372,300189,2364400,com.google.android.gms.persistent,10103,27268,12300
1626723385366,1626731152372,300189,2364400,com.android.systemui,10060,1995,8800
1626723385366,1626731152372,300189,2364400,com.google.android.gms,10103,7441,7640
1626731152372,1626731452507,300135,2359410,com.twitter.android,10306,5943,54110
1626731152372,1626731452507,300135,2359410,system_server,1000,1100,41560
1626731152372,1626731452507,300135,2359410,surfaceflinger,1000,989,36580
1626731152372,1626731452507,300135,2359410,com.android.systemui,10060,1995,13440
1626731152372,1626731452507,300135,2359410,android.hardware.graphics.composer@2.4-service,1000,855,11010
1626731452507,1626731752672,300165,2360950,surfaceflinger,1000,989,35220
1626731452507,1626731752672,300165,2360950,system_server,1000,1100,34760
1626731452507,1626731752672,300165,2360950,com.twitter.android,10306,5943,29390
1626731452507,1626731752672,300165,2360950,com.instagram.android,10300,1498,17080
1626731452507,1626731752672,300165,2360950,android.hardware.graphics.composer@2.4-service,1000,855,11380
1626731752672,1626732961752,300113,2354520,system_server,1000,1100,57160
1626731752672,1626732961752,300113,2354520,surfaceflinger,1000,989,32810
1626731752672,1626732961752,300113,2354520,com.samsung.android.honeyboard,10260,5105,14760
1626731752672,1626732961752,300113,2354520,android.hardware.graphics.composer@2.4-service,1000,855,10320
