_id,action_type,time,caller_uid,table_name,primary_key
-1,action_called_account_add,2021-04-03 19:10:19,10276,accounts,0
1,action_account_add,2021-04-03 19:21:44,10103,accounts,1
1,action_set_password,2021-04-03 19:21:44,10103,accounts,2
-1,action_called_account_add,2021-04-03 19:29:36,10276,accounts,3
2,action_account_add,2021-04-04 01:49:49,10306,accounts,4
3,action_account_add,2021-04-04 02:00:20,10229,accounts,5
-1,action_called_account_remove,2021-04-04 02:33:15,10211,accounts,6
4,action_account_add,2021-04-04 04:09:15,10211,accounts,7
5,action_account_add,2021-04-04 04:10:04,10303,accounts,8
6,action_account_add,2021-04-04 04:35:20,10302,accounts,9
7,action_account_add,2021-05-15 20:13:16,10229,accounts,10
7,action_called_account_remove,2021-05-15 20:13:17,10229,accounts,11
7,action_called_account_remove,2021-05-15 20:13:17,10229,accounts,12
7,action_account_remove,2021-05-15 20:13:19,10229,accounts,13
3,action_called_account_remove,2021-05-15 20:13:19,10229,accounts,14
3,action_account_remove,2021-05-15 20:13:19,10229,accounts,15
8,action_account_add,2021-06-04 00:09:19,10319,accounts,16
9,action_account_add,2021-06-04 00:09:21,10319,accounts,17
9,action_called_account_remove,2021-06-04 00:09:21,10319,accounts,18
9,action_account_remove,2021-06-04 00:09:21,10319,accounts,19
10,action_account_add,2021-06-04 00:09:35,10319,accounts,20
11,action_account_add,2021-06-04 00:10:56,10319,accounts,21
8,action_authenticator_remove,2021-06-04 00:11:32,1000,accounts,22
10,action_authenticator_remove,2021-06-04 00:11:32,1000,accounts,23
11,action_authenticator_remove,2021-06-04 00:11:32,1000,accounts,24
12,action_account_add,2021-06-04 00:11:49,10320,accounts,25
13,action_account_add,2021-06-04 00:11:51,10320,accounts,26
13,action_called_account_remove,2021-06-04 00:11:51,10320,accounts,27
13,action_account_remove,2021-06-04 00:11:52,10320,accounts,28
14,action_account_add,2021-06-04 00:11:55,10320,accounts,29
15,action_account_add,2021-06-11 16:08:54,10307,accounts,30
