status,total,current,id,type
FINISH,-1,116,3,REGISTER_DEVICE
FINISH,-1,17,7,GET_SERVICE_CONFIG
FINISH,0,0,11,GET_CARRIER_SPEC
FINISH,0,0,15,REGISTER_PUSH
