nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,16
2,1,1,6,0,0,0,16
3,1,1,3,2,0,0,16
4,1,2,2,0,0,0,16
5,1,2,12,0,0,0,16
6,1,2,14,0,0,0,16
7,1,2,3,2,0,0,16
8,2,0,0,0,-47,0,16
9,2,0,0,0,-46,0,16
10,1,3,8,0,0,0,16
11,1,3,17,0,0,0,16
12,1,3,19,0,0,0,16
13,1,4,1,0,0,0,16
14,1,4,25,0,0,0,16
15,2,0,0,0,-7,0,16
16,2,0,0,0,-3,0,16
17,2,0,0,0,-2,0,16
18,2,0,0,0,-1,0,16
19,2,0,0,0,0,0,16
20,2,0,0,0,1,0,16
21,1,5,1,0,0,0,16
22,1,5,2,1,0,0,16
23,1,5,0,2,0,0,16
24,1,6,2,0,0,0,16
25,1,6,14,0,0,0,16
26,1,7,4,0,0,0,16
27,1,8,15,0,0,0,16
28,1,10,2,2,0,0,16
29,1,11,1,0,0,0,16
30,1,11,2,0,0,0,16
31,1,11,11,0,0,0,16
32,1,11,4,5,0,0,16
33,1,12,8,0,0,0,16
34,1,11,0,5,3,32,16
34,1,12,24,0,0,64,16
35,1,12,24,0,0,0,16
36,1,12,25,0,0,0,16
37,1,12,26,0,0,0,16
38,1,12,31,0,0,0,16
39,1,10,0,1,0,0,16
40,1,5,2,1,0,0,16
41,1,10,31,0,0,0,16
201,1,11,4,6,0,0,16
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
