_id,tag,package,class,component_type,category,support_state,label_resource_id,enabled_label_resource_id,negative_enabled_label_resource_id,support_negative,icon_resource_id,desc_resource_id,config_activity_class,default_intent_param,default_label_param,condition_extra,uri,collect_param,attributes
1,runestone_time_occasion/context_wake_up,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820871,2131820855,-1,0,2131231324,2131820870,,,,,,WAKEUP,
2,runestone_time_occasion/context_work_place,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820874,2131820855,-1,0,2131231246,2131820873,,,,,,WORK,
3,runestone_time_occasion/context_home_place,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820863,2131820855,-1,0,2131231277,2131820862,,,,,,HOME,
4,runestone_time_occasion/context_before_bed_time,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820859,2131820855,-1,0,2131230899,2131820858,,,,,,BEFORE_BEDTIME,
5,runestone_time_occasion/context_probably_asleep,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131821791,2131820855,-1,0,2131230899,2131820845,,,,,,PROBABLY_ASLEEP,
6,runestone_time_occasion/context_car_place,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820848,2131820855,-1,0,2131230907,2131820847,,,,,,CAR,
7,runestone_time_occasion/context_foreign_country_place,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,context_awareness,1,2131820865,2131820855,-1,0,2131231323,2131820864,,,,,,FOREIGN_COUNTRY,
8,specific_time,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,time,1,2131822208,-1,-1,0,2131230998,2131822486,com.samsung.android.app.routines/.preloadproviders.system.conditions.specifictime.SepPreloadSpecificTimeSettingActivity,,,,,,moment_trigger
9,time,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,time,1,2131822489,2131822487,-1,0,2131230957,2131822486,com.samsung.android.app.routines/.preloadproviders.system.conditions.time.SepPreloadTimeSettingActivity,,,,,,
10,plugin_gps_location,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,place,1,2131821161,2131821160,2131821162,1,2131230959,2131821160,com.samsung.android.app.routines/com.samsung.android.app.routines.locationsetting.location.LocationActivity,,,,,,
11,connected_headset,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131821080,2131821079,2131821081,1,2131230961,2131821078,,,,,,,
12,plugged_battery,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131820716,2131820717,2131820717,1,2131231256,2131820714,com.samsung.android.app.routines/.preloadproviders.system.conditions.charging.SepPreloadBatteryPluggedSettingActivity,,,,,,
13,battery_condition,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131820725,2131820724,-1,0,2131231253,2131820723,com.samsung.android.app.routines/.preloadproviders.system.conditions.batterylevel.SepPreloadBatteryLevelConfigActivity,,,,,,
14,specify_wifi,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131822631,2131822630,-1,0,2131231260,2131822629,com.samsung.android.app.routines/.preloadproviders.settings.conditions.wifi.SepPreloadSpecificWifiSettingActivity,,,,,,
15,wifi_rssi,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131822623,2131822622,-1,0,2131231265,2131822621,com.samsung.android.app.routines/.preloadproviders.settings.conditions.wifi.SepPreloadWifiRssiLevelConfigActivity,,,,,,
16,wifi_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131822619,2131821348,2131821345,1,2131230894,2131822617,,,,,,,
17,specify_bluetooth,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131822213,2131822212,-1,0,2131230882,2131822211,com.samsung.android.app.routines/.preloadproviders.settings.conditions.bluetooth.SepPreloadSpecificBluetoothSettingActivity,,,,,,
18,dex_mode_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineConditionProvider,provider,device_state,1,2131820941,2131820940,2131820942,1,2131230979,2131820939,,,,,,,
