id,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
6,cars,12,1626382606511,,,,,,,,,,,,
7,sports_cars,1,1617591866440,,,,,,,,,,,,
9,toys,1,1617591866440,,,,,,,,,,,,
10,toy_cars,1,1617591866440,,,,,,,,,,,,
15,electronics,2,1617778373256,,,,,,,,,,,,
16,computer_mice,1,1617592504612,,,,,,,,,,,,
19,phones_and_tablets,1,1617778373256,,,,,,,,,,,,
22,glasses,1,1618199805565,,,,,,,,,,,,
23,people,1,1618199805565,,,,,,,,,,,,
25,scenery,13,1623262877142,,,,,,,,,,,,
26,streets,3,1623262877141,,,,,,,,,,,,
28,night_scenes,1,1618768247250,,,,,,,,,,,,
30,mountains,3,1621123981439,,,,,,,,,,,,
49,furniture,1,1623016846494,,,,,,,,,,,,
53,food,1,1623027481391,,,,,,,,,,,,
54,documents,2,1623779014438,,,,,,,,,,,,
80,trucks,1,1625700883404,,,,,,,,,,,,
