ID_A,STICKER_ITEMS_ID,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
1,1,en,Dancing Jim,,,
2,1,en_US,Dancing Jim,,,
3,1,en_CA,Dancing Jim,,,
4,1,sq_AL,Xhimi duke vallëzuar,,,
5,1,ar,Jim يرقص,,,
6,1,hy_AM,Պարող Ջիմը,,,
7,1,as,নাচি থকা জিম,,,
8,1,az_AZ,Rəqs edən Cim,,,
9,1,eu_ES,Jim dantzan,,,
10,1,be_BY,Jim танцуе,,,
11,1,bn_IN,নৃত্যরত জিম,,,
12,1,bn_BD,নৃত্যরত জিম,,,
13,1,bs,Jim pleše,,,
14,1,bg,Танцуващ Jim,,,
15,1,ca,Jim ballant,,,
16,1,zn_CN,跳舞的吉姆,,,
17,1,zn_HK,跳舞的 Jim,,,
18,1,zn_TW,手舞足蹈的 Jim,,,
19,1,hr,Jim pleše,,,
20,1,cs,Tančící Jim,,,
21,1,da,Jim danser,,,
22,1,nl,Dansende Jim,,,
23,1,et_EE,Tantsiv Jim,,,
24,1,fa,جیم در حال رقص,,,
25,1,tl,Sumasayaw na Jim,,,
26,1,fi,Tanssiva Jim,,,
27,1,fr,Jim en train de danser,,,
28,1,fr_CA,Jim en train de danser,,,
29,1,gl_ES,Jim bailando,,,
30,1,ka_GE,მოცეკვავე ჯიმი,,,
31,1,de,Tanzender Jim,,,
32,1,el,Ο Jim χορεύει,,,
33,1,gu_IN,નાચતું જિમ,,,
34,1,iw,ג'ים מרקד,,,
35,1,hi,नाचता हुआ जिम,,,
36,1,hu,Jim táncol,,,
37,1,is_IS,Dansandi Jim,,,
38,1,in,Jim menari,,,
39,1,ga,Jim ag damhsa,,,
40,1,it,Jim che balla,,,
41,1,ja,踊るジム,,,
42,1,kn_IN,ಕುಣಿಯುತ್ತಿರುವ ಜಿಮ್,,,
43,1,kk_KZ,Билеп тұрған Джим,,,
44,1,km_KH,Jim កំពុង​រាំ,,,
45,1,ko,리듬에 맞춰 춤추는 짐,,,
46,1,ky_KG,Бийлеп жаткан Джим,,,
47,1,lo_LA,ຈິມທີ່ກຳລັງຟ້ອນຢູ່,,,
48,1,lv,Jim dejo,,,
49,1,lt,Šokantis Jim,,,
50,1,mk_MK,Џим танцува,,,
51,1,ms_MY,Jim menari,,,
52,1,ml_IN,നൃത്തംവയ്ക്കുന്ന ജിം,,,
53,1,mr_IN,नाचणारा जिम,,,
54,1,my_ZG,ကေနေသာ ဂ်င္မ္,,,
55,1,mn_MN,Бүжиглэж буй Жим,,,
56,1,my_MM,ကနေသော ဂျင်မ်,,,
57,1,ne_NP,नाचिरहेको जिम,,,
58,1,nb,Dansende Jim,,,
59,1,or,ନାଚୁଥିବା କିମ୍,,,
60,1,pl,Tańczący Jim,,,
61,1,pt_PT,Jim a dançar,,,
62,1,pt_BR,Jim dançando,,,
