work_spec_id,system_id
740ec3ff-834f-468e-b9f3-c44967e5b68a,-2147483272
9a80e5d5-fa8d-4720-b583-220d6f5c4c2a,-2147483259
53ec9d19-35b3-4bad-b883-eff7c647e627,-2147483258
