_id,restrictionType,isAllowed,callee,caller,matchType,action
1,1,allow,com.eg.android.AlipayGphone,,equals,com.eg.android.AlipayGphone.IAlixPay
2,1,allow,com.alipay.android.app,,equals,com.eg.android.AlipayGphone.IAlixPay
3,1,allow,com.tencent.mobileqq,,,
4,1,allow,com.tencent.mm,,,
5,1,allow,com.cmcc.sso,,,
6,1,allow,com.cmdm.rcs,,,
7,2,block,com.baidu.netdisk_ss,com.sec.android.cloudagent,,
8,2,block,,com.samsung.android.opencalendar,,
9,3,allow,,com.samsung.accessory,equals,android.accessory.service.action.ACCESSORY_SERVICE_CONNECTION_IND
10,3,allow,,com.samsung.accessory,equals,com.samsung.accessory.action.SERVICE_CONNECTION_REQUESTED
11,3,allow,,com.samsung.accessory,equals,android.accessory.device.action.REGISTER_AFTER_INSTALL
12,3,allow,,com.samsung.accessory,equals,com.samsung.accessory.action.REGISTER_AGENT
13,3,allow,,,startsWith,com.samsung.android.cocktail.action.COCKTAIL
14,3,allow,,,startsWith,com.samsung.android.cocktail.v2.action.COCKTAIL
15,3,allow,,,startsWith,com.samsung.android.app.memo.EDGE_
16,3,allow,,com.wssnps,startsWith,com.sec.android.intent.action.REQUEST_BACKUP_
17,3,allow,,com.wssnps,startsWith,com.sec.android.intent.action.REQUEST_RESTORE_
18,3,allow,,com.wssnps,startsWith,com.samsung.android.intent.action.REQUEST_BACKUP_
19,3,allow,,com.wssnps,startsWith,com.samsung.android.intent.action.REQUEST_RESTORE_
20,3,allow,,com.wssnps,startsWith,com.samsung.android.intent.action.REQUEST_VERIFY
21,3,allow,,com.wssnps,startsWith,com.samsung.android.intent.action.RESPONSE_VERIFY
22,3,allow,,com.sec.android.easyMover,startsWith,com.sec.android.intent.action.REQUEST_BACKUP_
23,3,allow,,com.sec.android.easyMover,startsWith,com.sec.android.intent.action.REQUEST_RESTORE_
24,3,allow,,com.sec.android.easyMover,startsWith,com.samsung.android.intent.action.REQUEST_BACKUP_
25,3,allow,,com.sec.android.easyMover,startsWith,com.samsung.android.intent.action.REQUEST_RESTORE_
26,3,allow,,com.sec.android.easyMover,startsWith,com.samsung.android.intent.action.REQUEST_VERIFY
27,3,allow,,com.sec.android.easyMover,startsWith,com.samsung.android.intent.action.RESPONSE_VERIFY
28,3,allow,,,equals,android.intent.action.MEDIA_BUTTON
29,3,allow,,,equals,com.samsung.android.intent.action.MEDIA_BUTTON
30,3,allow,,,equals,com.sec.android.app.dictionary.SEARCH
31,3,allow,,,equals,com.sec.android.app.dictionary.SEARCH_WORD
32,3,allow,,,equals,com.sec.android.app.dictionary.CLOSE
33,3,allow,,,equals,com.sec.android.contextaware.HEADSET_PLUG
34,3,allow,,,equals,android.intent.action.PACKAGE_NEEDS_VERIFICATION
35,3,allow,,,equals,com.samsung.android.intent.action.PACKAGE_NEEDS_VERIFICATION2
36,3,allow,com.samsung.android.app.music.chn,com.samsung.android.app.sreminder,startsWith,com.sec.android.app.music
37,3,allow,com.samsung.android.scloud,com.sec.spp.push,equals,com.sec.spp.RegistrationChangedAction
38,3,allow,com.samsung.android.scloud,com.sec.spp.push,equals,tj9u972o46
39,3,allow,,,equals,com.samsung.app.highlightvideo.Analyse
40,5,block,,,startsWith,com.and.games505.Terraria
41,5,block,com.tencent.mtt,,,
42,6,allow,com.youku.phone,,,
43,6,allow,com.sohu.sohuvideo,,,
44,6,allow,com.letv.android.client,,,
45,6,allow,com.qiyi.video,,,
46,6,allow,com.tencent.qqlive,,,
47,7,allow,com.sina.weibo,,,
48,7,allow,com.tencent.mm,,,
49,7,allow,com.tencent.mobileqq,,,
50,8,block,com.igexin.sdk.GActivity,,,
51,9,allow,,,contains,Accessibility
52,10,block,com.codoon.gps,,,
53,10,block,com.traffic.panda,,,
54,10,block,me.ele.crowdsource,,,
55,11,block,com.ss.android.ugc.trill,,,
56,11,block,cheehoon.ha.particulateforecaster,,,
57,11,block,com.smg.spbs,,,
58,11,block,com.lottemembers.android,,,
59,11,block,com.cleanmaster.mguard,,,
60,11,block,com.fitnesskeeper.runkeeper.pro,,,
61,11,block,com.welstory.welhc,,,
62,11,block,net.rgruet.android.g3watchdog,,,
63,11,block,kr.co.d2.dominos,,,
64,11,block,com.kt.gigagenie.mobile,,,
65,11,block,com.northghost.touchvpn,,,
66,11,block,com.gion.android.GnMemoG,,,
67,11,block,com.nhn.android.band,,,
68,11,block,com.ktcs.whowho,,,
69,11,block,com.skt.tmap.ku,,,
70,11,block,com.linkedin.android,,,
71,11,block,net.daum.android.daum,,,
72,11,block,com.campmobile.snow,,,
73,11,block,com.estsoft.alyac,,,
74,11,block,com.nhn.android.nmap,,,
75,11,block,de.axelspringer.yana.zeropage,,,
76,11,block,com.imo.android.imoim,,,
77,11,block,com.life360.android.safetymapd,,,
78,11,block,com.bmwgroup.connected.bmw,,,
79,11,block,fast.phone.clean,,,
80,11,block,com.nhn.android.navercafe,,,
81,12,block,,,equals,android.intent.action.ANY_DATA_STATE
82,12,block,,,equals,android.intent.action.TIME_TICK
83,12,block,,,equals,android.net.wifi.SCAN_RESULTS
84,12,block,,,equals,android.intent.action.BATTERY_CHANGED
85,12,block,,,equals,net.rgruet.android.g3watchdog.ACTION_CHECK_SERVICE_ALIVE
86,13,block,com.codoon.gps,,,
87,13,block,com.traffic.panda,,,
88,13,block,me.ele.crowdsource,,,
89,13,block,com.accurate.live.weather.forecast,,,
90,13,block,com.accurate.live.weather.forecast.pro,,,
91,14,block,com.tencent.android.qqdownloader,,,
92,14,block,com.qihoo.cleandroid_cn,,,
93,15,block,,com.tencent.qqlive,,
94,16,block,com.DubaiLiveWallpaperHQ,,,
95,17,allow,,,contains,com.android.internal.telephony.IPhoneState
96,17,allow,,,equals,android.media.IAudioFocusDispatcher
97,21,block,com.google.android.play.games,,,
