name,seq
ConceptToCriteriaTypeMapper,258
viv_bixbyVoiceApp_StyleName,4
viv_bixbyVoiceApp_TurnOnOffFeatureName,2
viv_bixbyVoiceApp_Language,256
viv_systemApp_PowerOffDevice,9
viv_voiceRecorderApp_RecordingMode,6
viv_bixbyVoiceApp_VoiceGender,2
viv_bixbyVoiceApp_ConfirmationType,36
viv_bixbyVoiceApp_GoToFeature2FeatureName,8
viv_bixbyVoiceApp_CapsuleName,40
viv_bixbyVoiceApp_FeatureName,55
viv_bixbyVoiceApp_TutorialsName,25
viv_phoneApp_DeleteConfirmationType,46
viv_phoneApp_Speaker,3
viv_phoneApp_LatestCall,9
viv_phoneApp_SelectAll,5
viv_message_SimCard,7
viv_message_SendConfirmationType,41
viv_message_ContactNameQuery,340
viv_deviceMaintenanceApp_PSMType,5
viv_deviceMaintenanceApp_Item,25
viv_deviceMaintenanceApp_PerformanceMode,7
bixby_settingsApp_ScreenResolutionName,12
bixby_settingsApp_JumpSettingAppName,192
bixby_settingsApp_IntValue,44
bixby_settingsApp_MuteDurationMinuteUnit,2
bixby_settingsApp_WhiteBalanceType,17
bixby_settingsApp_ScreenTimeoutMinMax,13
bixby_settingsApp_FontType,16
bixby_settingsApp_SettingName,3
bixby_settingsApp_RingerModeName,13
bixby_settingsApp_ScreenZoomType,17
bixby_settingsApp_ScreenTimeoutUnit,6
bixby_settingsApp_SettingsName,105
bixby_settingsApp_MuteDurationHourUnit,3
viv_contact_SaveConfirmationType,13
viv_contact_Ordinal,11
viv_contact_PhoneInfo,4
viv_contact_PhoneType,27
viv_contact_ContactType,9
viv_contact_AddressType,9
viv_contact_ContactInfo,2
viv_contact_RelationshipType,50
viv_systemApp_VolumeLevelUnit,2
viv_systemApp_VolumeLevelType,17
viv_systemApp_RebootConfirmation,34
viv_systemApp_VolumeType,12
viv_systemApp_FlashlightName,7
viv_systemApp_BrightnessLevel,17
viv_systemApp_PowerOffConfirmation,34
viv_systemApp_ApplicationName,395
viv_systemApp_ScrollLevel,3
bixby_launcher_SelectedAll,2
bixby_launcher_ApplicationName,2011
bixby_launcher_MultiOption,12
viv_calculator_ScientificOperator,73
viv_calculator_Units,292
viv_calculator_UnitValue,15
viv_calculator_Operator,20
viv_calculator_FollowUpOperator,104
viv_calculator_SpecialNumber,4
viv_calculator_WholeNumber,4
viv_smartViewApp_DeviceType,13
viv_smartViewApp_FunctionName,8
viv_money_CurrencyValue,209
viv_money_CurrencyCents,172
viv_money_CurrencyCode,898
viv_money_PrefixSymbol,6
viv_email_OrdinalNumber,390
viv_email_SendConfirmationType,46
viv_call_SimCard,12
viv_call_CallRecentType,14
viv_call_CallRecentOrder,8
viv_call_CallMode,8
viv_call_Duo,2
viv_time_AmPm,6
viv_time_PeriodMinutes,16
viv_time_PeriodYears,29
viv_time_Year,5
viv_time_Millisecond,1000
viv_time_PeriodNights,8
viv_time_DateTimeZone,277
viv_time_Nth,362
viv_time_Season,18
viv_time_NamedTime,39
viv_time_PeriodDays,8
viv_time_Day,62
viv_time_DateTimeIntervalPeriodType,1
viv_time_AbsoluteNamedTimeInterval,17
viv_time_USHoliday,141
viv_time_Second,60
viv_time_Minute,19
viv_time_HolidayInterval,12
viv_time_MonthName,36
viv_time_ExplicitOffsetFromNow,15
viv_time_Count,5
viv_time_RelativeNamedDateInterval,7
viv_time_ExplicitDirectionFromNow,10
viv_time_AmbiguousNamedDateInterval,31
viv_time_PeriodSeconds,11
viv_time_DateTimePrecision,19
viv_time_RelativeNamedTimeInterval,17
viv_time_NamedDate,39
viv_time_DateTimeIntervalRangeMod,6
viv_time_DayOfWeek,23
viv_time_CalculatedDatePeriodType,183
viv_time_DatePeriodType,15
viv_time_Hour,53
viv_time_DateTimePeriodType,6
viv_time_DateIntervalPeriodType,6
viv_time_PeriodHours,16
viv_time_PeriodWeeks,12
viv_time_ExplicitComputationFromContext,11
viv_time_PeriodMonths,11
viv_time_ExplicitOffsetFromContext,6
viv_common_Confirmation,2
viv_common_Ordinal,122
ConceptInfo,791
regex_patterns,10
synset_data,3
viv_systemApp_BrightnessLevel_CHV_Increase,5
viv_systemApp_BrightnessLevel_CHV_Decrease,2
