policyname,packagename,mode
GLWL,com.desjardins.mobile,1
GLWL,com.ciaostudio.pixeliconpack,1
GLWL,com.shpock.android,1
GLWL,bbc.iplayer.android,1
GLWL,air.uk.co.bbc.android.mediaplayer,1
GLWL,deezer.android.app,1
GLWL,com.tellybug.xfactor,1
GLWL,bbc.mobile.news.uk,1
GLWL,uk.co.autotrader.androidconsumersearch,1
GLWL,uk.co.bbc.android.iplayerradio,1
GLWL,com.cardinalblue.piccollage.google,1
GLWL,com.theaa.android.theaa,1
GLWL,com.m2c.studio.transparent.screen,1
GLWL,uk.gov.metoffice.weather.android,1
GLWL,ru.mail,1
GLWL,com.telstra.mobile.android.mytelstra,1
GLWL,au.com.realestate.app,1
GLWL,com.fairfax.domain,1
GLWL,com.grofsoft.tripview.lite,1
GLWL,com.menulog.m,1
GLWL,de.lufthansa.ife.va,1
GLWL,it.doveconviene.android,1
GLWL,com.coles.android.shopmate,1
GLWL,com.sbs.ondemand.android,1
GLWL,au.com.tenplay,1
GLWL,com.thecarousell.Carousell,1
GLWL,com.kaylaitsines.sweatwithkayla,1
GLWL,au.com.catchoftheday.android,1
GLWL,com.truecaller,1
GLWL,in.amazon.mShop.android.shopping,1
GLWL,com.flipkart.android,1
GLWL,com.snapdeal.main,1
GLWL,com.ril.ajio,1
GLWL,com.myairtelapp,1
GLWL,com.lbe.parallel.intl,1
GLWL,org.telegram.messenger,1
GLWL,com.CultureAlley.japanese.english,1
GLWL,com.themonsterit.EngineerStarter,1
GLWL,com.imo.android.imoimbeta,1
GLWL,com.notescan.modijikinotescan,1
GLWL,com.guide.vidmaite1,1
GLWL,com.internet.speed.meter.lite,1
GLWL,in.AajTak.headlines,1
GLWL,in.mohalla.sharechat,1
GLWL,cris.icms.ntes,1
GLWL,com.abof.android,1
GLWL,com.oyo.consumer,1
GLWL,com.quickheal.platform.advance.blue.market,1
GLWL,com.internet.speed.meter,1
GLWL,org.antivirus,1
GLWL,com.mxtech.videoplayer.pro,1
GLWL,com.taobao.taobao,1
GLWL,com.lihkg.app,1
GLWL,com.hktv.android.hktvmall,1
GLWL,com.lenovo.anyshare.cloneit,1
GLWL,com.asiainno.uplive,1
GLWL,com.chungleisure.busrouteexpress,1
GLWL,mega.privacy.android.app,1
GLWL,com.csst.ecdict,1
GLWL,com.eset.ems2.gp,1
GLWL,cc.forestapp,1
GLWL,jp.Appsys.PanecalST,1
GLWL,com.samknows.ofcaspeedtest,1
GLWL,com.evernote,1
