_id,key,type,booleanValue,intValue,longValue,floatValue,doubleValue,stringValue,needSync,version
1,CORE~SAMPLING_UUID,0,,,,,,a646af90-7e95-1971-6006-b50a2bca107b,,
14,SNAPADS~SAID,0,,,,,,a167d828-f20e-4ea6-9002-1d972ba3eca3,,
19,AB_PLATFORM~BLOOPS_PROFILE_SELFIE_POLICY_CARD_ANDROID,2,,,,,,43,,
22,AB_PLATFORM~UNLOCKABLES_GATING,2,,,,,,0,,
24,SAVED_SNAPS~FEED_SAVE,2,0.0,,,,,,,
27,NETWORK~USE_NATIVE_NETWORK_RANKER,2,1.0,,,,,,,
28,AB_PLATFORM~PU_PURGE_CACHED_SPOTLIGHT_EXPLORATION_STORIES,2,,,,,,27,,
30,SAVED_SNAPS~CHAT_TOOLTIP,2,1.0,,,,,,,
35,BLIZZARD~DURABLE_JOB_RETRIES_ENABLED,2,0.0,,,,,,,
41,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_STORIES_BETWEEN_ADS,2,,10.0,,,,,,
42,SNAPADS~IS_NOT_IN_ADS_HOLDOUT,2,1.0,,,,,,,
44,SAVED_SNAPS~RENDER,2,1.0,,,,,,,
45,SAVED_SNAPS~PROMPT_SHOW_CONTINUE,2,0.0,,,,,,,
47,BLIZZARD~COMPRESS_UPLOADS_IN_BLIZZARD,2,1.0,,,,,,,
53,BLIZZARD~V2_RECENTLY_WENT_TO_BACKGROUND_TIMEOUT,2,,,3000.0,,,,,
57,AB_PLATFORM~MDP_ANDROID_API_GW_CLIENT_REROUTE,2,,,,,,39,,
63,AB_PLATFORM~BLOOPS_ONE_FRAME_THUMBNAILS_CHAT_ANDROID,2,,,,,,109,,
64,SNAPADS~SNAP_ADS_RETRO_MAX_NETWORK_RETRIES,2,,2.0,,,,,,
65,SNAPADS~SPOTLIGHT_CTA_PILL_BUTTON_COLOR_ANIMATION_DELAY_MILLIS,2,,,3600000.0,,,,,
71,AB_PLATFORM~ENABLE_FOREGROUND_SERVICE_FOR_ALL_MESSAGES,2,,,,,,57,,
72,SNAPADS~EXPAND_SHOWS_UNSKIPPABLE_PROGRESS_BAR,2,1.0,,,,,,,
75,LENSES~LIVE_CAMERA_INTERACTIVE_SNAP_ENABLED,2,0.0,,,,,,,
77,BLOOPS~BLOOPS_CACHE_FRIEND_DATA,2,1.0,,,,,,,
78,LOGIN_SIGNUP~REGISTRATION_REMOVE_VOICE,2,0.0,,,,,,,
79,PREMIUM~ENABLE_HAPPENING_NOW_WITH_HOROSCOPE,2,1.0,,,,,,,
85,SNAP_PRO~PROFILE_SELF_SERVE_CTA,2,1.0,,,,,,,
90,DISCOVER_FEED~PREMIUM_BADGE_PREFETCH_STRATEGY_HN,2,,,,,,ON_BADGE_RESPONSE,,
92,LENSES~LENSCORE_ARCORE_DEPTH_MODE.use_always_enabled_mode,2,,,,,,true,,
95,AB_PLATFORM~CAMERA_ME_FINGER_DOWN_CAPTURE_STUDY,2,,,,,,493,,
96,SAVED_SNAPS~IN_CHAT,2,1.0,,,,,,,
97,NETWORK~LARGE_MEDIA_CONCURRENCY_CONTROL_CONFIG,2,,,,,,CAQQAyICCAYiAggFIgIIBCICCAMiAggCIgIIASIAIgIIByoCCAEqAhACKgQIAxACKgQIBBADKgIIBTICCAE=,,
101,SNAPADS~IS_NOT_IN_DISCOVER_ADS_HOLDOUT,2,1.0,,,,,,,
104,LENSES~LENSCORE_TEXTURE_ANDROID_EXPS_08_07_20.texReaderSyncFailReturns,2,,,,,,false,,
105,LENSES~LENSCORE_AND_ANDROID_THREAD_PRIORITIES.lenscore_packed_priorities,2,,,,,,-1,,
107,STICKERS~MDP_STICKERS_BOLT_ONBOARDING,2,1.0,,,,,,,
108,MEMORIES~MEMORIES_ANDROID_CAROUSEL_VIEWED_STORIES_LAST,2,1.0,,,,,,,
112,MESSAGING~SUGGESTED_LENSES_IN_CHAT_ENABLED,2,1.0,,,,,,,
114,CORE~ENABLE_MEMORY_PER_PAGE_LOGGING,2,1.0,,,,,,,
117,SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_STORIES_FROM_SESSION_START,2,,1.0,,,,,,
120,BLOOPS~BLOOPS_IN_DISCOVER_ENABLED_EXPERIMENT,2,1.0,,,,,,,
124,SAVED_SNAPS~PROMPT_HIDE_CANCEL,2,1.0,,,,,,,
125,BLIZZARD~V2_SET_FOREGROUND_STATE_ON_MAIN_THREAD,2,1.0,,,,,,,
129,LENSES~SUGGESTED_LENSES_IN_CHAT_FIRST_WORDS_TO_SEARCH_COUNT,2,,8.0,,,,,,
130,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_DURATION_BETWEEN_ADS_SECONDS,2,,60.0,,,,,,
133,AB_PLATFORM~PU_PROFILE_STORIES_SNAP_VIEW_TYPE,2,,,,,,90,,
137,AB_PLATFORM~MDP_MUSHROOM_BG_PREFETCH_FRIEND_STORY,2,,,,,,471,,
138,UNLOCKABLES~UNLOCKABLES_GATING_ENABLED,2,1.0,,,,,,,
139,DISCOVER_FEED~ENABLE_PREMIUM_BADGE_HN,2,1.0,,,,,,,
140,AB_PLATFORM~BLOOPS_CACHING_SECOND_TARGET_IN_CHAT_ANDROID,2,,,,,,12,,
141,SNAPADS~SNAP_ADS_RETRO_ENABLE_GRAPHENE_FLUSH,2,0.0,,,,,,,
144,CONTEXT_CARDS~REPLY_BAR_TREATMENT,2,,2.0,,,,,,
146,ARROYO~FEED_SEND_STATE_PRIORITY,2,,,,,,new_content_beats_all_outbound_sends,,
147,NETWORK~NATIVE_RANKER_MAX_LENS_DOWNLOAD_BELOW_400KBPS,2,,1.0,,,,,,
152,LENSES~SUGGESTED_LENSES_IN_CHAT_ENABLED,2,1.0,,,,,,,
153,BLIZZARD~V2_REQUEST_TIMEOUT_SECONDS,2,,,150.0,,,,,
154,BLOOPS~BLOOPS_IN_SEARCH_ENABLED_EXPERIMENT,2,1.0,,,,,,,
157,AB_PLATFORM~DF_NEWS_ANDROID,2,,,,,,759,,
162,LENSES~LENSCORE_TEXTURE_ANDROID_EXPS_08_07_20.syncWithFinish,2,,,,,,false,,
164,AB_PLATFORM~SNAP_ADS_MUSHROOM_ENABLE_COMMERCIAL_WHITELIST,2,,,,,,42,,
166,BLIZZARD~V2_FRAMES_ENABLED,2,1.0,,,,,,,
167,BLIZZARD~GKE_PROD_URL,2,,,,,,https://app-analytics-v2.snapchat.com,,
175,AB_PLATFORM~ANDROID_REGISTRATION_REMOVE_VOICE_US_CA,2,,,,,,16,,
176,LENSES~USER_GENERATED_V2_ASSET_COMPRESSION_TYPE,2,,,,,,LNS,,
177,BLIZZARD~V2_CONFIG_OVERRIDE,2,,,,,,"{""blacklistedEvents"":[],""logQueueDefinitions"":[{""name"":""q0"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":1,""uploadInterval"":5000},{""name"":""q1"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":8,""uploadInterval"":25000},{""name"":""q12"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":8,""uploadInterval"":25000},{""name"":""q2"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":10,""uploadInterval"":30000},{""name"":""q3"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":75,""uploadInterval"":1800000},{""name"":""shadow"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""initialProcessingDelay"":10000,""maxInMemoryBufferInterval"":5000,""eventSaveBatchSize"":100,""burstDebounceInterval"":1000,""uploadBatchMax"":10,""uploadInterval"":30000},{""name"":""gce_best_effort"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz2"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz2""},""uploadBatchMax"":300,""uploadInterval"":1800000},{""name"":""tte"",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz3"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz3""},""uploadBatchMax"":5,""uploadInterval"":5000},{""name"":"""",""collectorUrls"":{""PROD"":""https://app-analytics-v2.snapchat.com/analytics/bz"",""STAGING"":""https://app-analytics-dev.snapchat.com/analytics/bz""},""uploadBatchMax"":10,""uploadInterval"":300000}],""qosToLogQueueNameMap"":{""TIER0"":[""q0""],""BUSINESS_CRITICAL"":[""q12""],""BUSINESS"":[""q12""],""BEST_EFFORT"":[""q3""],""OPS"":[""q3""]},""minPerUserSamplingRate"":0,""version"":""bzdv2.ab.v63.main""}",,
185,SNAPADS~SNAP_ADS_RETRO_ENABLE_RETRY,2,1.0,,,,,,,
187,STORIES~PROFILE_STORIES_SECTION_SNAP_VIEW_TYPE,2,,,,,,CAROUSEL,,
192,DISCOVER_FEED~PREMIUM_BADGE_DELAY_HN,2,,2.0,,,,,,
193,ARROYO~USE_EXPIRED_MESSAGES_QUERY,2,0.0,,,,,,,
194,DISCOVER_FEED~DF_ENABLE_SPOTLIGHT_5TH_TAB,2,1.0,,,,,,,
197,SAVED_SNAPS~REPLY_PROMPT_RETURN_ON_ACCEPT,2,0.0,,,,,,,
200,SNAPADS~IS_NOT_IN_CONTENT_INTERSTITIAL_ADS_HOLDOUT,2,1.0,,,,,,,
201,MEDIA_ENGINE~DELAY_FILE_PERSISTING_BIT_FLAG,2,,0.0,,,,,,
202,BLOOPS~SHARE_DISCOVER_VIDEO,2,1.0,,,,,,,
203,SNAPADS~SPOTLIGHT_CONTENT_INTERSTITIAL_AB_MIN_STORIES_FROM_SESSION_START,2,,4.0,,,,,,
209,STORIES~SHOW_SPOTLIGHT_ONBOARDING_PROMPT_V2,2,1.0,,,,,,,
210,AB_PLATFORM~DUM_AB,2,,,,,,112,,
