_id,MCC,Country_Code,Country_Name,NDD,NANPS,GMT_Offset_Low,GMT_Offset_High,GMT_DST_Low,GMT_DST_High
210,706,593,El Salvador,,0,-6.0,-6.0,-6.0,-6.0
211,708,504,Honduras,,0,-6.0,-6.0,-6.0,-6.0
212,710,505,Nicaragua,,0,-6.0,-6.0,-6.0,-6.0
213,712,506,Costa Rica,,0,-6.0,-6.0,-6.0,-6.0
214,714,507,Panama,,0,-5.0,-5.0,-5.0,-5.0
215,716,51,Peru,0,0,-5.0,-5.0,-5.0,-5.0
216,722,54,Argentine Republic,0,0,-3.0,-3.0,-2.0,-2.0
217,724,55,Brazil,0,0,-2.0,-4.0,-2.0,-5.0
218,730,56,Chile,0,0,-4.0,-4.0,-3.0,-3.0
219,732,57,Colombia,,0,-5.0,-5.0,-5.0,-5.0
220,734,58,Venezuela,0,0,-4.5,-4.5,-4.5,-4.5
221,736,591,Bolivia,0,0,-4.0,-4.0,-4.0,-4.0
222,738,592,Guyana,,0,-4.0,-4.0,-4.0,-4.0
223,740,593,Ecuador,0,0,-5.0,-5.0,-5.0,-5.0
224,742,594,French Guiana (France),,0,-4.0,-4.0,-4.0,-4.0
225,744,595,Paraguay,0,0,-4.0,-4.0,-3.0,-3.0
226,746,597,Suriname,0,0,-3.0,-3.0,-3.0,-3.0
227,748,598,Uruguay,0,0,-3.0,-3.0,-2.0,-2.0
228,441,81,Japan,0,0,9.0,9.0,9.0,9.0
229,340,596,Martinique (France),,0,-4.0,-4.0,-4.0,-4.0
230,235,44,United Kingdom,0,0,0.0,0.0,1.0,1.0
231,901,1,Maritime,1,0,-100.0,-100.0,-100.0,-100.0
232,405,91,India,0,0,5.5,5.5,5.5,5.5
