COL_WEATHER_KEY,COL_HOURLY_TIME,COL_HOURLY_IS_DAY_OR_NIGHT,COL_HOURLY_CURRENT_TEMP,COL_HOURLY_HIGH_TEMP,COL_HOURLY_LOW_TEMP,COL_HOURLY_ICON_NUM,COL_HOURLY_CONVERTED_ICON_NUM,COL_HOURLY_RAIN_PROBABILITY,COL_HOURLY_WIND_DIRECTION,COL_HOURLY_WIND_SPEED,COL_HOURLY_HUMIDITY,COL_HOURLY_WEATHER_TEXT,COL_HOURLY_URL,COL_HOURLY_PM25F,COL_HOURLY_PM25FLEVEL,COL_HOURLY_AQI,COL_HOURLY_RAIN_PRECIPITATION
cityId:current,1626980400000,1,27.0,999.0,999.0,34,0,0,NW,4,47,Mostly Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1626984000000,1,27.0,999.0,999.0,32,0,0,NW,4,45,Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1626987600000,1,27.0,999.0,999.0,32,0,0,NW,5,43,Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1626991200000,1,27.0,999.0,999.0,34,0,0,NNW,7,43,Mostly Sunny,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1626994800000,1,26.0,999.0,999.0,30,1,0,NNW,6,49,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1626998400000,1,24.0,999.0,999.0,30,1,1,NNW,5,57,Partly Cloudy,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627002000000,2,22.0,999.0,999.0,31,0,1,NNW,4,66,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627005600000,2,20.0,999.0,999.0,31,0,2,NNW,2,75,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627009200000,2,19.0,999.0,999.0,31,0,3,N,2,81,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627012800000,2,18.0,999.0,999.0,31,0,4,N,1,84,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627016400000,2,17.0,999.0,999.0,31,0,4,NNE,0,86,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
cityId:current,1627020000000,2,17.0,999.0,999.0,31,0,5,NNE,1,87,Clear,https://weather.com/weather/hourbyhour/l/47482b4760be8b67d164a7643d7dcc2f4a6a70112357d7b060166f8d57275d24?par=samsung_widget&temp=c,-1,-1,-1,0
