id,key,value,timeStamp
109,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413811,1622183871799
110,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622260801992
111,UsageDataManager::changeDate,prevBootTime : 1622046413811 currentBootTime : 1622046413812,1622269094725
112,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622347200963
113,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413811,1622353222160
114,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622433600297
115,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413812,1622438491617
116,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622520001596
117,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413812,1622523500725
118,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622606401811
119,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413812,1622607965749
120,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622692801020
121,UsageDataManager::changeDate,prevBootTime : 1622046413812 currentBootTime : 1622046413811,1622712893041
122,DWBReceiver,android.intent.action.TIME_SET,1622724069617
123,UsageDataManager::changeTime(),prevBootTime : 1622046411506 currentBootTime : 1622046411507,1622724069661
124,UsageDataManager::timeChanged(),prevBootTime : 1622046411506 currentBootTime : 1622046411506 difference : 0,1622724069665
125,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622779201030
126,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622865601320
127,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1622952001286
128,UsageDataManager::changeDate,prevBootTime : 1622046411506 currentBootTime : 1622046411506,1622965729379
129,DWBReceiver,android.intent.action.BOOT_COMPLETED,1623012480681
130,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623038400353
131,UsageDataManager::changeDate,prevBootTime : 1623012146954 currentBootTime : 1623012146955,1623039834042
132,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623124801340
133,UsageDataManager::changeDate,prevBootTime : 1623012146955 currentBootTime : 1623012146955,1623128992977
134,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623211200512
135,UsageDataManager::changeDate,prevBootTime : 1623012146955 currentBootTime : 1623012146954,1623220328583
136,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623297600680
137,UsageDataManager::changeDate,prevBootTime : 1623012146955 currentBootTime : 1623012146955,1623300449745
138,DWBReceiver,android.intent.action.BOOT_COMPLETED,1623441187527
139,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623470401408
140,UsageDataManager::changeDate,prevBootTime : 1623436406237 currentBootTime : 1623436406236,1623470480602
141,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623556800589
142,UsageDataManager::changeDate,prevBootTime : 1623436406237 currentBootTime : 1623436406237,1623566714537
143,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623643202075
144,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623729601022
145,UsageDataManager::changeDate,prevBootTime : 1623436406236 currentBootTime : 1623436406236,1623734455129
146,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623816001235
147,UsageDataManager::changeDate,prevBootTime : 1623436406237 currentBootTime : 1623436406236,1623816145473
148,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623902400485
149,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1623988800324
150,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624075201169
151,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624161602008
152,UsageDataManager::changeDate,prevBootTime : 1623436406236 currentBootTime : 1623436406236,1624180193035
153,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624248002223
154,DWBReceiver,android.intent.action.BOOT_COMPLETED,1624340139372
155,DWBReceiver,android.intent.action.BOOT_COMPLETED,1624385874624
156,DWBReceiver,android.intent.action.TIME_SET,1624385933847
157,UsageDataManager::changeTime(),prevBootTime : 1624385701915 currentBootTime : 1624385701916,1624385933888
158,UsageDataManager::timeChanged(),prevBootTime : 1624385701915 currentBootTime : 1624385701916 difference : 1,1624385933890
159,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624420801464
160,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624507201640
161,UsageDataManager::changeDate,prevBootTime : 1624385701915 currentBootTime : 1624385701916,1624519453787
162,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624593601825
163,UsageDataManager::changeDate,prevBootTime : 1624385701915 currentBootTime : 1624385701916,1624595534656
164,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624680002074
165,UsageDataManager::changeDate,prevBootTime : 1624385701916 currentBootTime : 1624385701916,1624682566114
166,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624766402245
167,UsageDataManager::changeDate,prevBootTime : 1624385701916 currentBootTime : 1624385701916,1624781843064
168,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624852801435
169,UsageDataManager::changeDate,prevBootTime : 1624385701916 currentBootTime : 1624385701916,1624867087331
170,DWBReceiver,android.intent.action.TIME_SET,1624936994844
171,UsageDataManager::changeTime(),prevBootTime : 1624936888526 currentBootTime : 1624936888526,1624936994987
172,UsageDataManager::timeChanged(),prevBootTime : 1624936888526 currentBootTime : 1624936888526 difference : 0,1624936994990
173,DWBReceiver,android.intent.action.BOOT_COMPLETED,1624937075642
174,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1624939201373
175,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625025601693
176,UsageDataManager::changeDate,prevBootTime : 1624936888526 currentBootTime : 1624936888527,1625027160833
177,DWBReceiver,android.intent.action.BOOT_COMPLETED,1625113855300
178,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625198401536
179,UsageDataManager::changeDate,prevBootTime : 1625113773008 currentBootTime : 1625113773008,1625200697723
180,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625284801635
181,UsageDataManager::changeDate,prevBootTime : 1625113773009 currentBootTime : 1625113773008,1625289785765
182,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625371201109
183,DWBReceiver,android.intent.action.BOOT_COMPLETED,1625508545122
184,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625544001189
185,UsageDataManager::changeDate,prevBootTime : 1625508450968 currentBootTime : 1625508450968,1625547194307
186,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625630401375
187,UsageDataManager::changeDate,prevBootTime : 1625508450968 currentBootTime : 1625508450967,1625642489402
188,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625716800219
189,DWBReceiver,android.intent.action.BOOT_COMPLETED,1625809557158
190,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625889601125
191,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380045,1625892877155
192,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1625976002374
193,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380044,1625991534345
194,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626062401571
195,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380044,1626076644449
196,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626148800722
197,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380045,1626152461836
198,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626235201960
199,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380044,1626243747909
200,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626321602168
201,UsageDataManager::changeDate,prevBootTime : 1625805380045 currentBootTime : 1625805380044,1626323324144
202,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626408001303
203,UsageDataManager::changeDate,prevBootTime : 1625805380045 currentBootTime : 1625805380044,1626413326339
204,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626494401526
205,UsageDataManager::changeDate,prevBootTime : 1625805380045 currentBootTime : 1625805380045,1626498187570
206,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626580801694
207,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380044,1626595775718
208,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626667200900
209,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380045,1626679913794
210,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626753601262
211,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626840002315
212,UsageDataManager::changeDate,prevBootTime : 1625805380044 currentBootTime : 1625805380045,1626842194354
213,DWBReceiver,com.samsung.android.forest.MIDNIGHT,1626926400488
