app_name,adv_type,adv_mode,adv_cnt,adv_time,adv_start_time,adv_stop_time
android.uid.system,1,100,1,0,2021-07-22T01:17:23.536,2021-07-22T01:17:23.547
com.google.uid.shared,1,1,73,1033,2021-07-22T18:58:46.277,2021-07-22T19:06:42.020
