_id,name,alias_id
1,defaults,1
2,applications,1
3,mainprograms,1
4,mainsoftware,1
5,android,1
6,general,1
7,standardapps,1
8,coreapps,1
9,basicapps,1
10,generalapps,1
11,basic,1
12,standard,1
13,core,1
14,general,1
15,generic,1
16,preinstalled,1
17,vanilla,1
18,stockapps,1
19,stock,1
20,pre-setapps,1
21,preset,1
22,factory-setapps,1
23,all,2
24,downloads,2
25,applications,2
26,software,2
27,functions,2
28,tools,2
29,programs,2
30,functionality,2
31,purchases,2
32,phone,3
33,tablet,3
34,upkeep,3
35,care,3
36,maintenance,3
37,up-keep,3
38,management,3
39,updates,3
40,damagecontrol,3
41,version,3
42,updating,3
43,refresh,3
44,fix,3
45,repair,3
46,info,4
47,guide,4
48,fast,4
49,information,4
50,deviceinformation,4
51,frequently,4
52,frequent,4
53,common,4
54,commonly,4
55,often,4
56,accessories,4
57,manage,4
58,management,4
59,config,4
60,setting,4
61,option,4
62,dailyuse,4
63,regular,4
64,deny,5
65,unfriend,5
66,remove,5
67,block,5
68,ban,5
69,spam,5
70,protect,5
71,blacklist,5
72,expel,5
73,prevent,5
74,prevention,5
75,filter,5
76,onehand,6
77,singlehand,6
78,lefthand,6
79,righthand,6
80,single,6
81,singlehand,6
82,singlehandmode,6
83,single-handed,6
84,single-handedmode,6
85,handsfree,6
86,options,6
87,config,6
88,setting,6
89,zoomin,7
90,out,7
91,text,7
92,textsize,7
93,"bigger,smaller",7
94,enlarge,7
95,shrink,7
96,view,7
97,font,7
98,displaypreferences,7
99,textappearance,7
100,text,7
101,textsize,7
102,appearance,7
103,zoom,7
104,zoom-in,7
105,zoom-out,7
106,magnify,7
107,magnifier,7
108,perspective,7
109,ratio,7
110,accessibility,7
111,visualaid,7
112,device,8
113,see,8
114,spot,8
115,detect,8
116,wireless,8
117,Bluetooth,8
118,bluetooth,8
119,blutooth,8
120,brightness,8
121,intensity,8
122,screenbrightness,8
123,dimness,8
124,dim,8
125,displayintensity,8
126,displaybrightness,8
127,find,8
128,host,8
129,hostname,8
130,broadcast,8
131,lighting,8
132,scan,8
133,sign,9
134,security,9
135,iris,9
136,eye,9
137,protect,9
138,guard,9
139,automatic,9
140,fast,9
141,easy,9
142,secure,9
143,finger,9
144,auto,9
145,key,9
