l2Key,expiryDate,assignedV4Address,assignedV4AddressExpiry,groupHint,dnsAddresses,mtu
W70bc0f977390309c,1659820743382,-1062731758.0,1625263542903.0,G1e5cf679a8e5f2a8,b'\x04KKKK\x04KKLL',0
W1e5cf679a8e5f2a8,1660446085022,,,G1e5cf679a8e5f2a8,,-1
W7c4c70865350c721,1660285909789,,,G7c4c70865350c721,,-1
