data,pk
b'\n\x1dcom.samsung.android.app.notes\x10\x05',com.samsung.android.app.notes
b'\n\x1bcom.sec.android.app.myfiles\x10\x05',com.sec.android.app.myfiles
b'\n\x1dcom.google.android.apps.turbo\x10\x05',com.google.android.apps.turbo
b'\n\x1acom.dsi.ant.service.socket\x10\x05',com.dsi.ant.service.socket
b'\n\x16com.google.android.tts\x10\x05',com.google.android.tts
b'\n&com.google.android.projection.gearhead\x10\x05',com.google.android.projection.gearhead
b'\n\x1ccom.sec.android.app.sbrowser\x10\x05',com.sec.android.app.sbrowser
b'\n\x16com.microsoft.skydrive\x10\x05',com.microsoft.skydrive
b'\n com.samsung.android.privateshare\x10\x05',com.samsung.android.privateshare
b'\n\x15com.google.android.gm\x10\x05',com.google.android.gm
b'\n\x18com.beenverified.android\x10\x01',com.beenverified.android
b'\n\x1ecom.androidrocker.voicechanger\x10\x01',com.androidrocker.voicechanger
b'\n\x1ecatching.cheatingspouseapp.app\x10\x01',catching.cheatingspouseapp.app
b'\n\x14com.antispycell.free\x10\x01',com.antispycell.free
b'\n\x15com.ea.game.nfs14_row\x10\x01',com.ea.game.nfs14_row
b'\n\x13com.carfax.consumer\x10\x01',com.carfax.consumer
b'\n\x16com.cargurus.mobileApp\x10\x01',com.cargurus.mobileApp
b'\n\x16com.autotrader.android\x10\x01',com.autotrader.android
b'\n\x12com.napko.RealDash\x10\x01',com.napko.RealDash
b'\n\x0eapp.cartomizer\x10\x01',app.cartomizer
b'\n\x12com.gydala.allcars\x10\x01',com.gydala.allcars
b'\n\x0ccom.orto.usa\x10\x01',com.orto.usa
b'\n\x0ccom.app.tgtg\x10\x1e',com.app.tgtg
b'\n#com.google.android.trichromelibrary\x10\x05',com.google.android.trichromelibrary
b'\n\x18com.zhiliaoapp.musically\x10\x05',com.zhiliaoapp.musically
b'\n\x08com.waze\x10\x01',com.waze
b'\n%com.google.android.captiveportallogin\x10\x05',com.google.android.captiveportallogin
b'\n\x1ecom.google.android.documentsui\x10\x05',com.google.android.documentsui
b'\n!com.google.android.modulemetadata\x10\x05',com.google.android.modulemetadata
b'\n\x1fcom.google.android.networkstack\x10\x05',com.google.android.networkstack
