update_id,key,value
66,release_action,2
66,download_allow_metered,false
66,release_safemode,false
66,release_file_name,com.facebook.katana.285416949.apk
66,release_file_hash,JEuniOGQ+s1Z+Di5WQK+n46GRBwHkjThQTDx2H0OhgI=
66,download_binary_type,3
66,patch_size,-1
66,installer_api,6
66,auto_update,true
66,created_ts,1626512480328
66,release_file_size,61885712
66,state,655408
66,patch_base_version_code,-1
66,flow,2
66,policy,3
66,release_network,2
66,user_approval,2
66,compressed_file_hash,vn6YWlm4Ys72fIBgl68eKiCmx39lRu/qUNFuMgJwtvI=
66,release_remote_uri,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_1712488162269615_8665380555400271248_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=Kiie31_3rLsAX9XL1Hi&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=7a68099d895d487a30e09e5c79d3ea7f&oe=60F69B37
66,release_signature,ijxLJi1yGs1JpL-X1SExmchvork
66,release_file_mimetype,application/vnd.android.package-archive
66,release_target_sdk,30
66,multifile_download_id,365
66,compressed_algorithm,zstd
66,release_ozone_signature,nctZdmn8kV6H2+94NxHr4vLuWsuU+JprxQD1is8u6FDkoFv0Bm5DJHOKBMNCh+eOQIBwmS3gqrA0JyuTAE9FhLW5iw4qzd36q/QUDC2OvkSLLr3q7XoABcqMuoDNUfGw/oA9zFWRbVoYLyCILK64wKS/1XNFXSBOudJDKzn9j74uIZScY3NBbTy+eAs68Av6ZwCHq/lDyEljSNrObL6k9OmPyn1O4cv8a5xacyL1BeF65Zz2g3w8pm66SMzckrooDbEoafqRdpmU1m+yXgZ10Q1VyTZunZRZGely4mlmN0Wd1hecB6bfEp9AjibxHy5xk0BJ2TrOSYBQTP9WLiEj0g==
66,is_free,false
66,compressed_download_url,https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/10000000_1712488215602943_2229716258986698130_n.zstd?_nc_cat=1&ccb=1-3&_nc_sid=325c44&_nc_ohc=-iesFFNoJnkAX9u9JZA&_nc_oc=AQkP7HJOjcV5dx-N6m_QPjvcx0RJS--E1Usu-X7mAriY2PjBAuWjFhPRUf4KEtpChfU&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=4c7866ef37e05226ac8f87d003f3296d&oe=60F7AC87
66,oxygen_manifest_metadata,{}
66,compressed_file_size,58125798
66,release_version_name,327.0.0.33.120
66,download_api,1
66,state_ts,1626512480791
66,release_full_apk_signature,AQDiMEYCIQCs08gzXcusCKH1NEyukxFDoHbstI4/I2XIoXmS6fTN0gIhAJy9fUMi67XYCQSS8VH/feMFHPtAZRQ0yjXbBbL8+TG0
64,release_action,2
64,canceled_descr,Newer version is available.
64,download_allow_metered,false
64,download_binary_type,3
64,release_file_hash,ANfvH+SJ+WXcsX1wGZbYycEW2aHitvnERHHGZYausMM=
64,release_file_name,com.instagram.android.304101669.apk
64,release_safemode,false
64,patch_size,-1
64,installer_api,6
64,auto_update,true
64,created_ts,1626376386266
64,release_file_size,40946596
64,state,262656
64,patch_base_version_code,-1
64,canceled_state,655408
64,flow,2
64,policy,3
64,release_network,2
64,user_approval,2
64,compressed_file_hash,fPeF9KszW8G2kV11DsdeBCqs6Al9u8b3uMLY6yia/T8=
