_id,_package,_category
1,com.audiocn.kalaok,karaoke_allow
2,com.tencent.karaoke,karaoke_allow
3,com.tencent.wesing,karaoke_allow
4,com.changba,karaoke_allow
5,com.app.hero.ui,karaoke_allow
6,cn.banshenggua.aichang,karaoke_allow
7,com.kibey.echo,karaoke_allow
8,cn.kuwo.sing,karaoke_allow
9,com.michong.haochang,karaoke_allow
10,com.huuhoo.mystyle,karaoke_allow
11,com.sm1.EverySing,karaoke_allow
12,com.smule.singandroid,karaoke_allow
13,com.netease.karaoke,karaoke_allow
14,com.google.android.youtube,media_button_deny
15,com.android.chrome,media_button_deny
16,com.google.android.apps.youtube.kids,media_button_deny
17,com.mxtech.videoplayer.ad,media_button_deny
