hash,find_threat_matches_response_proto,time_cached_ms
b'[\x0b\x89u\x0cx\xf23\xfe\xe2\\k\xe3-\x92\x8f\xcd\x80Z\x8cTU\xc2\x11\r)5</Q\x7f\xee',"b'\n1\x08\x04\x1a""\n [\x0b\x89u\x0cx\xf23\xfe\xe2\\k\xe3-\x92\x8f\xcd\x80Z\x8cTU\xc2\x11\r)5</Q\x7f\xee""\x00*\x03\x08\xac\x02\x10\x030\x01\x12\x00\x1a\x03\x08\xac\x02'",1617502039749
b'[\x0b\x89u',b'\x12\x00\x1a\x03\x08\xac\x02',1617502039749
