flags,word,value,confidence,CultureId
524800,undsechzig,60,1000,7
524800,und siebzig,70,1000,7
524802,und siebzigste,70,1000,7
524802,und siebzigstem,70,1000,7
524802,und siebzigsten,70,1000,7
524802,und siebzigster,70,1000,7
524802,und siebzigstes,70,1000,7
524802,und siebzigstens,70,1000,7
524800,-und-siebzig,70,1000,7
524800,und 70,70,1000,7
524800,undsiebzig,70,1000,7
524800,und achtzig,80,1000,7
524802,und achtzigste,80,1000,7
524802,und achtzigstem,80,1000,7
524802,und achtzigsten,80,1000,7
524802,und achtzigster,80,1000,7
524802,und achtzigstes,80,1000,7
524802,und achtzigstens,80,1000,7
524800,-und-achtzig,80,1000,7
524800,und 80,80,1000,7
524800,undachtzig,80,1000,7
524800,und neunzig,90,1000,7
524802,und neunzigste,90,1000,7
524802,und neunzigstem,90,1000,7
524802,und neunzigsten,90,1000,7
524802,und neunzigster,90,1000,7
524802,und neunzigstes,90,1000,7
524802,und neunzigstens,90,1000,7
524800,-und-neunzig,90,1000,7
524800,und 90,90,1000,7
524800,undneunzig,90,1000,7
10,ste,0,1000,7
10,stem,0,1000,7
10,sten,0,1000,7
10,ster,0,1000,7
10,stes,0,1000,7
10,stens,0,1000,7
32,halb,500,1000,7
32,halbe,500,1000,7
32,einhalb,500,1000,7
32,und einhalb,500,1000,7
32,ein halb,500,1000,7
32,und ein halb,500,1000,7
32,eine halbe,500,1000,7
32,und eine halbe,500,1000,7
32,einer halben,500,1000,7
32,und einer halben,500,1000,7
32,1/2,500,1000,7
32,anderthalb,1500,1000,7
32,eineinhalb,1500,1000,7
32,drittel,333,1000,7
32,1/3,333,1000,7
32,zwei drittel,667,1000,7
32,zweidrittel,667,1000,7
32,2/3,667,1000,7
32,viertel,250,1000,7
32,ein viertel,250,1000,7
32,und ein viertel,250,1000,7
32,einviertel,250,1000,7
32,und einviertel,250,1000,7
32,eine viertel,250,1000,7
32,und eine viertel,250,1000,7
32,einer viertel,250,1000,7
32,und einer viertel,250,1000,7
32,1/4,250,1000,7
32,drei viertel,750,1000,7
32,und drei viertel,750,1000,7
32,dreiviertel,750,1000,7
32,und dreiviertel,750,1000,7
32,ein dreiviertel,750,1000,7
32,eine dreiviertel,750,1000,7
32,einer dreiviertel,750,1000,7
32,3/4,750,1000,7
1280,null,0,1000,7
1284,0,0,1000,7
1281,nur,0,800,7
32,punkt,0,1000,7
32,komma,0,1000,7
32,.,0,1000,7
262152,und,0,1000,7
16,negativ,0,1000,7
16,minus,0,1000,7
16,-,0,1000,7
1179648,letzte,0,1000,7
1179648,letzten,0,1000,7
1179648,letzte,0,1000,7
1179648,letzter,0,1000,7
1179648,letzten,0,1000,7
1179648,vorletzte,1,1000,7
1179648,vorletzter,1,1000,7
1179648,vorletzten,1,1000,7
1179648,zweitletzte,1,1000,7
1179648,zweitletzter,1,1000,7
1179648,zweitletzten,1,1000,7
1179648,drittletze,2,1000,7
1179648,drittletzer,2,1000,7
1179648,drittletzen,2,1000,7
